Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
d014801	Vitamin A	D014801	11103-57-4	ACE2	59272	Homo sapiens	9606	32808185
d014801	Vitamin A	D014801	11103-57-4	AKR1B1	231	Homo sapiens	9606	19014918
d014801	Vitamin A	D014801	11103-57-4	AKR1B10	57016	Homo sapiens	9606	19014918
d014801	Vitamin A	D014801	11103-57-4	ALB	213	Homo sapiens	9606	17184834
d014801	Vitamin A	D014801	11103-57-4	APOD	347	Homo sapiens	9606	16461020
d014801	Vitamin A	D014801	11103-57-4	BTG2	7832	Homo sapiens	9606	17234770
d014801	Vitamin A	D014801	11103-57-4	CASP3	836	Homo sapiens	9606	16531423|17618090
d014801	Vitamin A	D014801	11103-57-4	CCL2	6347	Homo sapiens	9606	16988133
d014801	Vitamin A	D014801	11103-57-4	CCND1	595	Homo sapiens	9606	17219422|17234770
d014801	Vitamin A	D014801	11103-57-4	CD14	929	Homo sapiens	9606	17033190
d014801	Vitamin A	D014801	11103-57-4	CDH1	999	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	COL1A1	1277	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	COL4A2	1284	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	CRABP2	1382	Homo sapiens	9606	16793012|17034753|17234770
d014801	Vitamin A	D014801	11103-57-4	CREB1	1385	Homo sapiens	9606	16280361
d014801	Vitamin A	D014801	11103-57-4	CTNNB1	1499	Homo sapiens	9606	17219422
d014801	Vitamin A	D014801	11103-57-4	CYP1B1	1545	Homo sapiens	9606	15258110|33814510
d014801	Vitamin A	D014801	11103-57-4	CYP26A1	1592	Homo sapiens	9606	16194896|17244623|22542753
d014801	Vitamin A	D014801	11103-57-4	DGAT1	8694	Homo sapiens	9606	16214399
d014801	Vitamin A	D014801	11103-57-4	DHRS9	10170	Homo sapiens	9606	11304534
d014801	Vitamin A	D014801	11103-57-4	EPO	2056	Homo sapiens	9606	16960172
d014801	Vitamin A	D014801	11103-57-4	ESR1	2099	Homo sapiens	9606	19340624
d014801	Vitamin A	D014801	11103-57-4	FAS	355	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	FN1	2335	Homo sapiens	9606	17225872
d014801	Vitamin A	D014801	11103-57-4	FOXA1	3169	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	GABRB3	2562	Homo sapiens	9606	17225872
d014801	Vitamin A	D014801	11103-57-4	GATA6	2627	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	GPX1	2876	Homo sapiens	9606	17179735
d014801	Vitamin A	D014801	11103-57-4	GSTP1	2950	Homo sapiens	9606	23769903
d014801	Vitamin A	D014801	11103-57-4	HBEGF	1839	Homo sapiens	9606	19648781
d014801	Vitamin A	D014801	11103-57-4	IL2	3558	Homo sapiens	9606	15506942
d014801	Vitamin A	D014801	11103-57-4	ITGA3	3675	Homo sapiens	9606	17241391
d014801	Vitamin A	D014801	11103-57-4	ITGB1	3688	Homo sapiens	9606	17241391
d014801	Vitamin A	D014801	11103-57-4	IVL	3713	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	KRT18	3875	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	KRT19	3880	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	KRT7	3855	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	KRT8	3856	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	LRAT	9227	Homo sapiens	9606	18316031
d014801	Vitamin A	D014801	11103-57-4	MBL2	4153	Homo sapiens	9606	16960176
d014801	Vitamin A	D014801	11103-57-4	MCL1	4170	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	MEIS1	4211	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	MEIS2	4212	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	MEOX1	4222	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	MUC5AC	4586	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	MYC	4609	Homo sapiens	9606	17219422
d014801	Vitamin A	D014801	11103-57-4	NKX2-1	7080	Homo sapiens	9606	16490937
d014801	Vitamin A	D014801	11103-57-4	OLR1	4973	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	PLAAT4	5920	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	PTGDS	5730	Homo sapiens	9606	16461020
d014801	Vitamin A	D014801	11103-57-4	RARA	5914	Homo sapiens	9606	17034753|17225872|17244623
d014801	Vitamin A	D014801	11103-57-4	RARB	5915	Homo sapiens	9606	15754000|17034753
d014801	Vitamin A	D014801	11103-57-4	RARRES1	5918	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	RBP1	5947	Homo sapiens	9606	16150442|16793012
d014801	Vitamin A	D014801	11103-57-4	RBP4	5950	Homo sapiens	9606	16461020|16762690|18316031|21591606|22542753
d014801	Vitamin A	D014801	11103-57-4	RDH12	145226	Homo sapiens	9606	16269441
d014801	Vitamin A	D014801	11103-57-4	RPE65	6121	Homo sapiens	9606	16150724|16828753
d014801	Vitamin A	D014801	11103-57-4	RXRA	6256	Homo sapiens	9606	17219422|17244623
d014801	Vitamin A	D014801	11103-57-4	RXRG	6258	Homo sapiens	9606	17219422
d014801	Vitamin A	D014801	11103-57-4	SDR16C5	195814	Homo sapiens	9606	18926804|27793605
d014801	Vitamin A	D014801	11103-57-4	SFTPB	6439	Homo sapiens	9606	16490937
d014801	Vitamin A	D014801	11103-57-4	SLC1A2	6506	Homo sapiens	9606	17138558
d014801	Vitamin A	D014801	11103-57-4	STRA6	64220	Homo sapiens	9606	18316031
d014801	Vitamin A	D014801	11103-57-4	TFRC	7037	Homo sapiens	9606	16960172
d014801	Vitamin A	D014801	11103-57-4	TGFB3	7043	Homo sapiens	9606	17225872
d014801	Vitamin A	D014801	11103-57-4	TGFBR1	7046	Homo sapiens	9606	17225872
d014801	Vitamin A	D014801	11103-57-4	TGFBR2	7048	Homo sapiens	9606	17225872
d014801	Vitamin A	D014801	11103-57-4	TGM2	7052	Homo sapiens	9606	17034753
d014801	Vitamin A	D014801	11103-57-4	TLR2	7097	Homo sapiens	9606	17033190
d014801	Vitamin A	D014801	11103-57-4	TLR4	7099	Homo sapiens	9606	17033190
d014801	Vitamin A	D014801	11103-57-4	TMPRSS2	7113	Homo sapiens	9606	32808185
d014801	Vitamin A	D014801	11103-57-4	TOB1	10140	Homo sapiens	9606	17234770
d014801	Vitamin A	D014801	11103-57-4	TTR	7276	Homo sapiens	9606	21591606
