Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
d014807	1,24,25-trihydroxyvitamin D3	C013721	50648-94-7	CYP24A1	1591	Homo sapiens	9606	7530193
d014807	1,24,25-trihydroxyvitamin D3	C013721	50648-94-7	VDR	7421	Homo sapiens	9606	7530193
d014807	1,24-dihydroxyvitamin D2	C063087	124043-51-2	TNF	7124	Homo sapiens	9606	11135059
d014807	1,24-dihydroxyvitamin D2	C063087	124043-51-2	VDR	7421	Homo sapiens	9606	10927029
d014807	1,25-dihydroxy-16-ene-vitamin D3	C087630	124409-58-1	CYP24A1	1591	Homo sapiens	9606	7530193
d014807	1,25-dihydroxy-26,27-dimethylcholecalciferol	C046127	97473-92-2	CDKN1A	1026	Homo sapiens	9606	20153625
d014807	1,25-dihydroxy-26,27-dimethylcholecalciferol	C046127	97473-92-2	CYP24A1	1591	Homo sapiens	9606	20153625
d014807	1,25-dihydroxy-26,27-dimethylcholecalciferol	C046127	97473-92-2	CYP3A4	1576	Homo sapiens	9606	20153625
d014807	1,25-dihydroxy-26,27-dimethylcholecalciferol	C046127	97473-92-2	TRPV6	55503	Homo sapiens	9606	20153625
d014807	1,25-dihydroxy-26,27-dimethylcholecalciferol	C046127	97473-92-2	VDR	7421	Homo sapiens	9606	20153625
d014807	1,25-dihydroxyergocalciferol	C003564	55248-15-2	CD14	929	Homo sapiens	9606	22751936
d014807	1,25-dihydroxyergocalciferol	C003564	55248-15-2	CEBPB	1051	Homo sapiens	9606	22751936
d014807	1,25-dihydroxyergocalciferol	C003564	55248-15-2	CYP24A1	1591	Homo sapiens	9606	22751936
d014807	1,25-dihydroxyergocalciferol	C003564	55248-15-2	VDR	7421	Homo sapiens	9606	22751936
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	BAX	581	Homo sapiens	9606	16061374
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	CCL5	6352	Homo sapiens	9606	16367934
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	CDC25A	993	Homo sapiens	9606	23112173
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	COL1A1	1277	Homo sapiens	9606	15331595
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	CXCL8	3576	Homo sapiens	9606	16367934
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	CYP24A1	1591	Homo sapiens	9606	15331595
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	FBXW7	55294	Homo sapiens	9606	23112173
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	HDAC2	3066	Homo sapiens	9606	23112173
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	HRAS	3265	Homo sapiens	9606	18829283
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	IL10	3586	Homo sapiens	9606	20211254
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	IL17A	3605	Homo sapiens	9606	20211254
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	IL6	3569	Homo sapiens	9606	16367934
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	MAPK1	5594	Homo sapiens	9606	15331595
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	MAPK3	5595	Homo sapiens	9606	15331595
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	MED1	5469	Homo sapiens	9606	16059639
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	MXD1	4084	Homo sapiens	9606	23112173
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	MYC	4609	Homo sapiens	9606	23112173
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	NPPA	4878	Homo sapiens	9606	15837528
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	PTH	5741	Homo sapiens	9606	10638776
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	PTHLH	5744	Homo sapiens	9606	10638776
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	RXRA	6256	Homo sapiens	9606	15331595|15837528
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	SIN3A	25942	Homo sapiens	9606	23112173
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	TRPV6	55503	Homo sapiens	9606	16362534
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	TXN	7295	Homo sapiens	9606	16061374
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	TXNIP	10628	Homo sapiens	9606	16061374
d014807	1,25-dihydroxyvitamin D	C097949	66772-14-3	VDR	7421	Homo sapiens	9606	15331595|15837528|16059639|18829283|23112173
