WPID;WPTitle;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP4950;16p11.2 distal deletion syndrome;33;63;4;12387;2.2256660904605713e-05;0.0022701794122697828;IL4 INSR JAK2 SH2B1
WP4830;GDNF/RET signaling axis;23;63;3;12387;0.0002065009525691068;0.010531548581024447;GDNF GFRA1 RET
WP5087;Malignant pleural mesothelioma;436;63;9;12387;0.00033415994271706023;0.011361438052380048;BDNF IGF1R IL10 INSR JAK1 NTF3 NTRK2 SHC1 STAT1
WP4298;Acute viral myocarditis;85;63;4;12387;0.0009038930753842574;0.023049273422298566;IFNG IL10 JAK1 STAT1
WP4549;Fragile X syndrome;112;63;4;12387;0.002503403038079674;0.04354555131180725;BDNF NTRK2 PTPN11 SHC1
WP3853;ERK pathway in Huntington's disease;15;63;2;12387;0.0025615030183416027;0.04354555131180725;BDNF NTRK2
WP5053;Development of ureteric collection system;60;63;3;12387;0.0034905749461373874;0.05086266350085907;GDNF GFRA1 RET
WP5074;Kallmann syndrome;23;63;2;12387;0.006012651743665;0.07666130973172876;FRS2 PTPN11
WP4540;Hippo signaling regulation pathways;98;63;3;12387;0.013536793380400376;0.1534169916445376;IGF1R INSR NTRK2
WP4823;Genes controlling nephrogenesis;44;63;2;12387;0.020997791918014003;0.21417747756374284;GDNF RET
WP4541;Hippo-Merlin signaling dysregulation;120;63;3;12387;0.02310916403046449;0.21428497555521617;IGF1R INSR NTRK2
WP5222;2q13 copy number variation syndrome;68;63;2;12387;0.04679713424261547;0.39777564106223146;SOCS3 STAT1
WP3584;MECP2 and associated Rett syndrome;73;63;2;12387;0.053128320959818245;0.4061193726185376;BDNF IGF1R
WP4906;3q29 copy number variation syndrome;75;63;2;12387;0.055741874673132616;0.4061193726185376;STAT5A STAT5B
WP4947;Nitric oxide metabolism in cystic fibrosis;13;63;1;12387;0.06416736227859003;0.4363380634944122;PRMT3
WP5101;Congenital generalized lipodystrophy (CGL);18;63;1;12387;0.08775290504728174;0.5594247696764211;IRS1
WP5102;Familial partial lipodystrophy (FPLD);30;63;1;12387;0.1419976589820658;0.8519859538923947;STAT5B
WP5052;Nephrogenesis;18;63;0;12387;1.0;1.0;
