GeneSymbol	ActiveModule	ActiveGene	overlapSignificant
BRF1	1	False	False
RBL2	1	True	False
MS4A3	1	False	False
CDKN3	1	True	False
GMNN	1	False	False
CDT1	1	True	False
CCP110	1	False	False
CCNF	1	True	False
KAT7	1	False	False
HIST1H1D	1	False	False
CDK2	1	True	False
CAMK1	1	True	False
CDKN1B	1	True	False
DBF4	1	False	False
MCM4	1	True	False
CCNB3	1	False	False
HIST3H2BB	1	False	False
CDKN2A	1	True	False
FEN1	1	True	False
CCNA2	1	True	False
CCND1	1	True	False
ARID4A	1	False	False
SSBP1	1	False	False
CDK1	1	True	False
CPEB4	1	True	False
TOB1	1	False	False
FBXO31	1	False	False
CDKN2AIP	1	False	False
KMT2E	1	False	False
SPDYA	1	False	False
MCM10	1	True	False
LBX1	1	False	False
ORC1	1	True	False
CKS2	1	False	False
CCNB2	1	True	False
MCM7	1	True	False
ORC3	1	False	False
CCNE2	1	True	False
GNL3	1	True	False
MCM2	1	False	False
CKS1B	1	False	False
TUBA1C	1	False	False
RBL1	1	False	False
E2F5	1	True	False
MTR	1	False	False
C12orf65	1	False	False
CCNB1IP1	1	False	False
CCNB1	1	True	False
CCNA1	1	True	False
PROCA1	1	False	False
TFDP1	1	True	False
MCM5	1	False	False
LAMB2	1	False	False
ORC5	1	True	False
IL15RA	1	False	False
CDK4	1	True	False
ACLY	1	False	False
TSPYL2	1	False	False
USP37	1	False	False
MMRN1	1	False	False
HIST1H1A	1	False	False
KIF26B	1	False	False
PHLDA3	1	False	False
CDC6	1	True	False
B3GALNT1	1	False	False
FOXM1	1	False	False
CCNE1	1	True	False
ORC2	1	False	False
MARCKS	1	False	False
CAMK1G	1	False	False
CDC45	1	True	False
GRAMD4	1	False	False
CDKN1C	1	True	False
SKP2	1	True	False
NUDT2	1	False	False
MCM6	1	True	False
CDC7	1	True	False
ORC4	1	False	False
MCM3	1	True	False
MYBL2	1	True	False
KLHDC9	1	False	False
RPA2	1	False	False
CDK2AP1	1	False	False
ORC6	1	False	False
POLA1	1	False	False
NPAT	1	False	False
RPA1	1	False	False
HIST1H1B	1	False	False
UHRF2	1	False	False
USP26	1	False	False
HERC5	1	False	False
H1F0	1	False	False
PRC1	1	False	False
NES	2	True	True
PDGFA	2	False	True
NMRK2	2	False	True
IGFBP7	2	True	True
PDGFRA	2	True	True
CAV3	2	False	True
MMP3	2	True	True
TF	2	False	True
IGFBP5	2	True	True
FBN1	2	True	True
PAPPA2	2	False	True
PZP	2	False	True
TGFB2	2	True	True
ELN	2	False	True
COL2A1	2	False	True
SDC2	2	True	True
SPARC	2	False	True
FLNA	2	False	True
PDGFB	2	False	True
IGF1	2	True	True
IGSF1	2	False	True
INS	2	True	True
PRELP	2	False	True
COL1A2	2	True	True
COL4A1	2	False	True
HSPG2	2	True	True
LAMA3	2	True	True
F3	2	True	True
DAG1	2	True	True
PRTN3	2	True	True
NID2	2	False	True
TFPI	2	False	True
IGFBP3	2	True	True
VASN	2	False	True
LAMA5	2	False	True
SERPINB1	2	True	True
NID1	2	False	True
COL5A1	2	False	True
ULBP2	2	False	True
THBS1	2	True	True
MMP2	2	True	True
TIMP4	2	False	True
LAMA2	2	False	True
THBS2	2	False	True
ELANE	2	False	True
MMP7	2	True	True
IGFALS	2	False	True
COL6A1	2	True	True
COL7A1	2	False	True
ITGAV	2	True	True
LTBP1	2	False	True
F7	2	False	True
SERPINA1	2	False	True
PKD1	2	False	True
CCL3	2	True	True
ITGA2	2	False	True
PCSK9	2	False	True
MAG	2	False	True
CYR61	2	False	True
FBN2	2	True	True
CAV1	2	False	True
FBLN2	2	False	True
COL1A1	2	True	True
PCSK4	2	False	True
COL3A1	2	False	True
FGA	2	False	True
IDE	2	False	True
IGFBP6	2	True	True
COCH	2	False	True
PLG	2	False	True
IGFBP4	2	True	True
BCAN	2	False	True
NOV	2	False	True
IGF2	2	True	True
VTN	2	False	True
IGFBP1	2	False	True
MAF	3	True	True
MAFB	3	True	True
BATF3	3	False	True
CEBPE	3	True	True
RPS6KA2	3	False	True
JUN	3	True	True
APLP2	3	True	True
CEBPB	3	True	True
MED23	3	False	True
RUNX2	3	True	True
RBM14	3	False	True
ETS2	3	False	True
LUZP4	3	False	True
FOSL2	3	True	True
SPEN	3	False	True
RUNX1	3	True	True
NFE2L1	3	False	True
NFE2L3	3	True	True
ZSCAN31	3	False	True
DDIT3	3	True	True
SLC25A12	3	False	True
JUND	3	True	True
DNMT3L	3	False	True
ATF3	3	True	True
MAFF	3	True	True
OVOL1	3	False	True
HOXD12	3	False	True
ATF5	3	False	True
HOXA5	3	False	True
CEBPA	3	True	True
DBP	3	False	True
SPIB	3	False	True
KDM2B	3	False	True
SPI1	3	True	True
C14orf80	3	False	True
ZNF595	3	False	True
JUNB	3	True	True
MAZ	3	True	True
NFIL3	3	False	True
TCFL5	3	True	True
USF1	3	False	True
BATF2	3	True	True
EPAS1	3	True	True
SNAPC5	3	False	True
FOSL1	3	False	True
ATF1	3	False	True
CEBPG	3	True	True
GTF2A1L	3	False	True
LINC00461	3	False	True
USF2	3	False	True
FOS	3	True	True
ATF4	3	False	True
EGLN3	3	False	True
MAFK	3	False	True
ETS1	3	False	True
NFE2	3	False	True
NFE2L2	3	True	True
TSC22D3	3	True	True
BATF	3	False	True
EGR1	3	True	True
SRA1	3	False	True
SOX9	3	True	True
IL7	3	False	True
BACH1	3	False	True
ARL6IP4	3	False	True
ATF2	3	False	True
C19orf68	3	False	True
BACH2	3	False	True
MAFG	3	False	True
BDNF	4	True	True
NTRK2	4	True	True
DDR1	4	True	True
SHC1	4	False	True
CNTF	4	False	True
LIFR	4	True	True
IGF1R	4	False	True
JAK1	4	True	True
IL27RA	4	False	True
STAT1	4	True	True
SH2B1	4	False	True
RET	4	True	True
GFRA1	4	True	True
IL13RA1	4	True	True
IL13	4	False	True
IFNAR1	4	False	True
STAT2	4	True	True
IFNGR1	4	True	True
IFNG	4	True	True
IL15	4	False	True
STAT5B	4	True	True
FRS2	4	False	True
NTRK3	4	True	True
