GeneSymbol	ActiveModule	ActiveGene	overlapSignificant
DBF4	1	False	False
MCM4	1	True	False
C12orf65	1	False	False
CDK2	1	True	False
RBL1	1	False	False
E2F5	1	True	False
CDC7	1	True	False
TOB1	1	False	False
TUBA1C	1	False	False
CDKN2A	1	True	False
ACLY	1	False	False
MARCKS	1	False	False
CCNE1	1	True	False
SPDYA	1	False	False
CDKN1B	1	True	False
CCNA2	1	True	False
USP37	1	False	False
FBXO31	1	False	False
CDT1	1	True	False
UHRF2	1	False	False
CCNB1	1	True	False
CPEB4	1	True	False
POLA1	1	False	False
NPAT	1	False	False
CCNA1	1	True	False
NUDT2	1	False	False
MCM6	1	True	False
MCM2	1	False	False
CCNB2	1	True	False
HIST3H2BB	1	False	False
CDKN3	1	True	False
MS4A3	1	False	False
MMRN1	1	False	False
CCNF	1	True	False
CCP110	1	False	False
CCND1	1	True	False
ARID4A	1	False	False
CCNB1IP1	1	False	False
CDK4	1	True	False
IL15RA	1	False	False
H1F0	1	False	False
CDK1	1	True	False
GNL3	1	True	False
ORC4	1	False	False
CDC45	1	True	False
CAMK1G	1	False	False
CDKN2AIP	1	False	False
TFDP1	1	True	False
MCM5	1	False	False
ORC1	1	True	False
SKP2	1	True	False
MCM7	1	True	False
CDKN1C	1	True	False
BRF1	1	False	False
RBL2	1	True	False
MCM3	1	True	False
RPA2	1	False	False
TSPYL2	1	False	False
CCNB3	1	False	False
CDC6	1	True	False
B3GALNT1	1	False	False
FEN1	1	True	False
MCM10	1	True	False
FOXM1	1	False	False
SSBP1	1	False	False
CAMK1	1	True	False
HERC5	1	False	False
KLHDC9	1	False	False
PRC1	1	False	False
PROCA1	1	False	False
CKS1B	1	False	False
HIST1H1A	1	False	False
CCNE2	1	True	False
HIST1H1B	1	False	False
PHLDA3	1	False	False
HIST1H1D	1	False	False
USP26	1	False	False
CDK2AP1	1	False	False
LAMB2	1	False	False
ORC5	1	True	False
MYBL2	1	True	False
CKS2	1	False	False
ORC2	1	False	False
ORC6	1	False	False
KMT2E	1	False	False
RPA1	1	False	False
ORC3	1	False	False
LBX1	1	False	False
GMNN	1	False	False
KIF26B	1	False	False
GRAMD4	1	False	False
KAT7	1	False	False
MTR	1	False	False
PZP	2	False	True
VASN	2	False	True
FBN2	2	True	True
LTBP1	2	False	True
COL1A2	2	True	True
BCAN	2	False	True
HSPG2	2	True	True
CCL2	2	True	True
PKD1	2	False	True
THBD	2	True	True
ITGA2	2	False	True
GRAMD1C	2	True	True
CCL27	2	False	True
NID2	2	False	True
PDIA3	2	False	True
PDGFB	2	False	True
SHARPIN	2	False	True
ITIH1	2	False	True
MMP2	2	True	True
CCR3	2	True	True
VCAN	2	False	True
FCN2	2	False	True
FCN3	2	False	True
FCN1	2	False	True
PDGFA	2	False	True
TGFB2	2	True	True
F7	2	False	True
CCL11	2	False	True
COCH	2	False	True
ITGA3	2	False	True
PTX3	2	True	True
ITGAL	2	True	True
MAG	2	False	True
FBLN2	2	False	True
CCR1	2	True	True
ADAM10	2	True	True
SPARC	2	False	True
F3	2	True	True
PSENEN	2	False	True
THBS2	2	False	True
TGFB3	2	True	True
PRELP	2	False	True
PF4	2	False	True
ITIH3	2	False	True
ELN	2	False	True
PLG	2	False	True
ITGA1	2	True	True
MMP7	2	True	True
ICAM1	2	True	True
CCL3L3	2	False	True
TIMP4	2	False	True
NID1	2	False	True
ITGB1	2	True	True
ACKR1	2	False	True
CXCL12	2	True	True
PAPPA2	2	False	True
FBN1	2	True	True
IGFALS	2	False	True
ACKR2	2	False	True
COL6A1	2	True	True
IGFBP5	2	True	True
CD151	2	False	True
LAMA1	2	True	True
SDC4	2	False	True
TGFBR3	2	False	True
MMP3	2	True	True
CCL7	2	True	True
PCSK9	2	False	True
FLNA	2	False	True
CCL20	2	True	True
VTN	2	False	True
IGFBP3	2	True	True
CCL23	2	False	True
TNFAIP6	2	True	True
COL1A1	2	True	True
CCR6	2	False	True
ETS2	3	False	True
JUN	3	True	True
ATF3	3	True	True
DBP	3	False	True
ATF5	3	False	True
CEBPE	3	True	True
C14orf80	3	False	True
DDIT3	3	True	True
USF1	3	False	True
TCFL5	3	True	True
JUND	3	True	True
LINC00461	3	False	True
NFE2	3	False	True
NFE2L3	3	True	True
ARL6IP4	3	False	True
FOS	3	True	True
C19orf68	3	False	True
JUNB	3	True	True
SNAPC5	3	False	True
RPS6KA2	3	False	True
APLP2	3	True	True
CEBPB	3	True	True
MED23	3	False	True
SPEN	3	False	True
RUNX1	3	True	True
SLC25A12	3	False	True
ATF1	3	False	True
SPI1	3	True	True
CEBPA	3	True	True
USF2	3	False	True
MAF	3	True	True
ZNF595	3	False	True
HOXD12	3	False	True
MAFB	3	True	True
EGR1	3	True	True
SRA1	3	False	True
TSC22D3	3	True	True
BATF2	3	True	True
ZSCAN31	3	False	True
SOX9	3	True	True
RUNX2	3	True	True
MAFF	3	True	True
OVOL1	3	False	True
BACH2	3	False	True
HOXA5	3	False	True
NFIL3	3	False	True
CEBPG	3	True	True
ATF4	3	False	True
EPAS1	3	True	True
LUZP4	3	False	True
FOSL2	3	True	True
SPIB	3	False	True
KDM2B	3	False	True
MAFG	3	False	True
MAFK	3	False	True
NFE2L2	3	True	True
ATF2	3	False	True
IL7	3	False	True
RBM14	3	False	True
GTF2A1L	3	False	True
BACH1	3	False	True
DNMT3L	3	False	True
MAZ	3	True	True
FOSL1	3	False	True
NFE2L1	3	False	True
BATF	3	False	True
BATF3	3	False	True
ETS1	3	False	True
EGLN3	3	False	True
IFNG	4	True	True
IFNGR2	4	False	True
IL6ST	4	True	True
OSM	4	False	True
GIGYF2	4	False	True
GRB10	4	True	True
CNTFR	4	False	True
LIFR	4	True	True
WSB2	4	False	True
CSF3R	4	True	True
TMEM39B	4	False	True
IL13RA1	4	True	True
ELP2	4	False	True
STAT5B	4	True	True
IRS1	4	False	True
DDR1	4	True	True
CSF2RB	4	False	True
PTPN11	4	True	True
IL13	4	False	True
CNTF	4	False	True
EPOR	4	False	True
WSB1	4	True	True
PRMT3	4	False	True
STAT1	4	True	True
GDNF	4	True	True
GFRA2	4	False	True
IL15	4	False	True
PPP1R3B	4	True	True
IFNAR2	4	False	True
IL4	4	True	True
GIGYF1	4	False	True
STAT2	4	True	True
NTF3	4	True	True
BDNF	4	True	True
IL10RA	4	True	True
IL10	4	True	True
CISH	4	False	True
IL4R	4	False	True
LIF	4	False	True
JAK2	4	False	True
NRTN	4	False	True
GFRA1	4	True	True
IL27RA	4	False	True
SH2B1	4	False	True
NTRK2	4	True	True
DMRTA1	4	False	True
RET	4	True	True
DDR2	4	True	True
SHC1	4	False	True
JAK1	4	True	True
IL2RB	4	False	True
NTRK3	4	True	True
FRS2	4	False	True
JAK3	4	False	True
CNOT9	4	False	True
STAT5A	4	False	True
IFNGR1	4	True	True
SOCS3	4	False	True
