PathwayIDs;PathwayNames;PathwayBackgroundNames;PathwaySizes;TargetSizes;IntersectionSize;BackgroundSizes;pValue;pAdjusted;Intersection
WP5087;Malignant pleural mesothelioma;WikiPathway_2022_08_11;436;71;12;12378;6.089182622330625e-06;0.0006210966274777238;CCL2 CXCL12 ITGA1 ITGA2 ITGA3 ITGB1 LAMA1 MMP2 MMP3 PDGFA PDGFB SPARC
WP4823;Genes controlling nephrogenesis;WikiPathway_2022_08_11;44;71;4;12378;0.00011345563994442218;0.005786237637165531;CXCL12 ITGA3 ITGB1 PDGFB
WP4541;Hippo-Merlin signaling dysregulation;WikiPathway_2022_08_11;120;71;5;12378;0.00061556387924969;0.02092917189448946;ITGA1 ITGA2 ITGA3 ITGAL ITGB1
WP4932;7q11.23 copy number variation syndrome;WikiPathway_2022_08_11;113;71;3;12378;0.027036374294324282;0.5822846320139782;ELN FBLN2 FBN1
WP4535;Envelope proteins and their potential roles in EDMD physiopathology;WikiPathway_2022_08_11;46;71;2;12378;0.028543364314410694;0.5822846320139782;TGFB2 TGFB3
WP5053;Development of ureteric collection system;WikiPathway_2022_08_11;60;71;2;12378;0.04638474685474671;0.788540696530694;ITGB1 TGFB2
WP5120;Inclusion body myositis;WikiPathway_2022_08_11;11;71;1;12378;0.061341092966731306;0.8938273546580847;PSENEN
WP5109;Familial hyperlipidemia type 2;WikiPathway_2022_08_11;16;71;1;12378;0.0879823444012304;0.9508484184706899;PCSK9
WP4522;Metabolic pathway of LDL, HDL and TG, including diseases;WikiPathway_2022_08_11;17;71;1;12378;0.09322043318340097;0.9508484184706899;PCSK9
WP4298;Acute viral myocarditis;WikiPathway_2022_08_11;85;71;2;12378;0.08547443759166702;0.9508484184706899;CCR3 ITGAL
WP2059;Alzheimer's disease and miRNA effects;WikiPathway_2022_08_11;275;71;2;12378;0.47037528385692423;1.0;ADAM10 PSENEN
WP5074;Kallmann syndrome;WikiPathway_2022_08_11;23;71;0;12378;1.0;1.0;
WP5052;Nephrogenesis;WikiPathway_2022_08_11;18;71;0;12378;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;WikiPathway_2022_08_11;14;71;0;12378;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;WikiPathway_2022_08_11;3;71;0;12378;1.0;1.0;
WP4971;Phosphoinositides metabolism;WikiPathway_2022_08_11;49;71;0;12378;1.0;1.0;
WP4950;16p11.2 distal deletion syndrome;WikiPathway_2022_08_11;33;71;0;12378;1.0;1.0;
WP4949;16p11.2 proximal deletion syndrome;WikiPathway_2022_08_11;81;71;1;12378;0.373413814940518;1.0;IGFBP3
WP4947;Nitric oxide metabolism in cystic fibrosis;WikiPathway_2022_08_11;13;71;0;12378;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;WikiPathway_2022_08_11;32;71;0;12378;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;WikiPathway_2022_08_11;10;71;0;12378;1.0;1.0;
WP4906;3q29 copy number variation syndrome;WikiPathway_2022_08_11;75;71;1;12378;0.3512681815923281;1.0;ADAM10
WP4905;1q21.1 copy number variation syndrome;WikiPathway_2022_08_11;36;71;0;12378;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;WikiPathway_2022_08_11;57;71;1;12378;0.280096763416108;1.0;TGFB2
WP4871;Kisspeptin/kisspeptin receptor system in the ovary;WikiPathway_2022_08_11;39;71;0;12378;1.0;1.0;
WP4844;Influence of laminopathies on Wnt signaling;WikiPathway_2022_08_11;37;71;0;12378;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;WikiPathway_2022_08_11;9;71;0;12378;1.0;1.0;
