Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
d014801	13-cis-12-(3'-carboxyphenyl)retinoic acid	C078415	141948-79-0	PLA2G2A	5320	Homo sapiens	9606	7814386
d014801	14-hydroxy-4,14-retro-retinol	C072014	139257-77-5	PRKCA	5578	Homo sapiens	9606	11099483
d014801	3,7,11,15-tetramethyl-2,4,6,10,14-hexadecapentaenoic acid	C034534	81485-25-8	CCND1	595	Homo sapiens	9606	15475462|16596235
d014801	3,7,11,15-tetramethyl-2,4,6,10,14-hexadecapentaenoic acid	C034534	81485-25-8	CDKN1A	1026	Homo sapiens	9606	15475462|16596235
d014801	3,7,11,15-tetramethyl-2,4,6,10,14-hexadecapentaenoic acid	C034534	81485-25-8	RARB	5915	Homo sapiens	9606	15475462
d014801	3,7,11,15-tetramethyl-2,4,6,10,14-hexadecapentaenoic acid	C034534	81485-25-8	RB1	5925	Homo sapiens	9606	15475462
d014801	3,7,11,15-tetramethyl-2,4,6,10,14-hexadecapentaenoic acid	C034534	81485-25-8	RXRA	6256	Homo sapiens	9606	17270033
d014801	3,7,11,15-tetramethyl-2,4,6,10,14-hexadecapentaenoic acid	C034534	81485-25-8	TP53	7157	Homo sapiens	9606	15475462
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		BAD	572	Homo sapiens	9606	17145897|17387344
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		BAX	581	Homo sapiens	9606	17145897
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		BCL2	596	Homo sapiens	9606	17145897
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		CASP9	842	Homo sapiens	9606	17387344
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		CCND1	595	Homo sapiens	9606	17145897|17387344
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		CDK4	1019	Homo sapiens	9606	17145897
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		CYP19A1	1588	Homo sapiens	9606	17145897
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		ERBB2	2064	Homo sapiens	9606	17145897
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		ESR1	2099	Homo sapiens	9606	17145897|17387344
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		KRT18	3875	Homo sapiens	9606	17145897|17387344
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		KRT8	3856	Homo sapiens	9606	17145897|17387344
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		NCOA3	8202	Homo sapiens	9606	17145897
d014801	4-(1H-imidazol-1-yl)retinoic acid	C496751		PARP1	142	Homo sapiens	9606	17387344
d014801	4-hydroxyretinoic acid	C019429	66592-72-1	CYP1A1	1543	Homo sapiens	9606	10874126
d014801	4-hydroxyretinoic acid	C019429	66592-72-1	CYP26A1	1592	Homo sapiens	9606	12091498|17460545|25492813
d014801	4-hydroxyretinoic acid	C019429	66592-72-1	CYP2C8	1558	Homo sapiens	9606	10874126
d014801	4-hydroxyretinoic acid	C019429	66592-72-1	CYP2C9	1559	Homo sapiens	9606	10874126
d014801	4-hydroxyretinoic acid	C019429	66592-72-1	CYP3A4	1576	Homo sapiens	9606	10874126
d014801	4-hydroxyretinoic acid	C019429	66592-72-1	MUC2	4583	Homo sapiens	9606	10953040
d014801	4-hydroxyretinoic acid	C019429	66592-72-1	MUC5AC	4586	Homo sapiens	9606	10953040
d014801	4-hydroxyretinoic acid	C019429	66592-72-1	RARA	5914	Homo sapiens	9606	25492813
d014801	4-hydroxyretinoic acid	C019429	66592-72-1	RARB	5915	Homo sapiens	9606	25492813
d014801	4-hydroxyretinoic acid	C019429	66592-72-1	RARG	5916	Homo sapiens	9606	25492813
d014801	4-oxoretinoic acid	C002202	38030-57-8	AIP	9049	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	ANXA1	301	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	APOD	347	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	CBX3	11335	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	CDH1	999	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	CDKN1C	1028	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	CKB	1152	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	COL1A1	1277	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	COL4A2	1284	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	COL6A1	1291	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	COL8A2	1296	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	CRABP2	1382	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	CXCL1	2919	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	CYP1A1	1543	Homo sapiens	9606	10874126
d014801	4-oxoretinoic acid	C002202	38030-57-8	CYP26A1	1592	Homo sapiens	9606	12091498|17460545|25492813
d014801	4-oxoretinoic acid	C002202	38030-57-8	CYP27A1	1593	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	CYP2C8	1558	Homo sapiens	9606	10874126
d014801	4-oxoretinoic acid	C002202	38030-57-8	CYP2C9	1559	Homo sapiens	9606	10874126
d014801	4-oxoretinoic acid	C002202	38030-57-8	CYP3A4	1576	Homo sapiens	9606	10874126
d014801	4-oxoretinoic acid	C002202	38030-57-8	CYP3A7	1551	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	CYP4A11	1579	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	DSC1	1823	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	DUSP10	11221	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	DUSP11	8446	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	E2F1	1869	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	EGFR	1956	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	EIF4EBP2	1979	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	EMP1	2012	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	FABP5	2171	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	FAM3C	10447	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	FAS	355	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	FASN	2194	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	FASTK	10922	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	FGF1	2246	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	FKBP8	23770	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	FLG	2312	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	FOXA1	3169	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	G6PD	2539	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	GATA6	2627	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	GBA1	2629	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	GDF15	9518	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	GDF2	2658	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	GLUL	2752	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	GRB7	2886	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	GSTM1	2944	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	HBEGF	1839	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	IGF1	3479	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	IGF2	3481	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	IGFBP3	3486	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	IL10RA	3587	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	IL1B	3553	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	IL24	11009	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	ITGA4	3676	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	IVL	3713	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT1	3848	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT10	3858	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT14	3861	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT15	3866	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT17	3872	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT18	3875	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT19	3880	Homo sapiens	9606	15982314|17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT5	3852	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT6A	3853	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT7	3855	Homo sapiens	9606	15982314|17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT75	9119	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	KRT8	3856	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	LAMA2	3908	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	LAMA3	3909	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	LAMC3	10319	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	LCN2	3934	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	MCL1	4170	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	MEIS1	4211	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	MEIS2	4212	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	MEOX1	4222	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	MFAP2	4237	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	MMP10	4319	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	MUC5AC	4586	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	NEDD9	4739	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	NEFL	4747	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	ODC1	4953	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	OLR1	4973	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	PIR	8544	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	PLAAT4	5920	Homo sapiens	9606	17034753
d014801	4-oxoretinoic acid	C002202	38030-57-8	PLAT	5327	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	PTGS1	5742	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	PTGS2	5743	Homo sapiens	9606	15982314
d014801	4-oxoretinoic acid	C002202	38030-57-8	RARA	5914	Homo sapiens	9606	17034753|25492813
d014801	4-oxoretinoic acid	C002202	38030-57-8	RARB	5915	Homo sapiens	9606	17034753|25492813
