source	target	link	AMI_number
CDK1	CKS1B	ppi	1
CDK1	TFDP1	ppi	1
CDK1	CCNB1IP1	ppi	1
CDK1	RPA1	ppi	1
CDK1	KIF26B	ppi	1
CDK1	HIST1H1B	ppi	1
CDK1	CDC6	ppi	1
CDK1	CDKN3	ppi	1
CDK1	CCNB1	ppi	1
CDK1	FEN1	ppi	1
CDK1	POLA1	ppi	1
CDK1	CCNA1	ppi	1
CDK1	H1F0	ppi	1
CDK1	UHRF2	ppi	1
CDK1	CDT1	ppi	1
CDK1	TSPYL2	ppi	1
CDK1	HIST1H1A	ppi	1
CDK1	MARCKS	ppi	1
CDK1	ARID4A	ppi	1
CDK1	HIST1H1D	ppi	1
CDK1	PRC1	ppi	1
CDK1	CKS2	ppi	1
CDK1	FOXM1	ppi	1
CDK1	KMT2E	ppi	1
CDK1	SSBP1	ppi	1
CDK1	CCP110	ppi	1
ORC1	MCM6	ppi	1
ORC1	MCM7	ppi	1
ORC1	MCM2	ppi	1
ORC1	MCM5	ppi	1
ORC1	ORC4	ppi	1
ORC1	ORC5	ppi	1
ORC1	CDC45	ppi	1
ORC1	KAT7	ppi	1
ORC1	CDK2	ppi	1
ORC1	CDC6	ppi	1
ORC1	RPA2	ppi	1
ORC1	CDC7	ppi	1
ORC1	ORC2	ppi	1
ORC1	DBF4	ppi	1
ORC1	ORC3	ppi	1
ORC1	MCM4	ppi	1
ORC1	SKP2	ppi	1
ORC1	CDT1	ppi	1
ARID4A	CCND1	ppi	1
ARID4A	CDK4	ppi	1
ARID4A	CDK2	ppi	1
ARID4A	CCNB1	ppi	1
ARID4A	CCNE1	ppi	1
ARID4A	CCNA2	ppi	1
MS4A3	CDKN3	ppi	1
POLA1	CDK2AP1	ppi	1
POLA1	CDC45	ppi	1
POLA1	CDK2	ppi	1
POLA1	CCNB1	ppi	1
POLA1	CCNA2	ppi	1
GMNN	MCM6	ppi	1
GMNN	KAT7	ppi	1
GMNN	CDKN2A	ppi	1
GMNN	CDT1	ppi	1
CDKN2A	MCM6	ppi	1
CDKN2A	CCND1	ppi	1
CDKN2A	CDK4	ppi	1
CDKN2A	MCM10	ppi	1
CDKN2A	MCM2	ppi	1
CDKN2A	MCM5	ppi	1
CDKN2A	ORC4	ppi	1
CDKN2A	ORC5	ppi	1
CDKN2A	CDC45	ppi	1
CDKN2A	HIST3H2BB	ppi	1
CDKN2A	CDC6	ppi	1
CDKN2A	CDC7	ppi	1
CDKN2A	GNL3	ppi	1
CDKN2A	ACLY	ppi	1
CDKN2A	CDKN2AIP	ppi	1
CDKN2A	USP26	ppi	1
CDKN2A	TUBA1C	ppi	1
CDKN2A	MMRN1	ppi	1
CDKN2A	MTR	ppi	1
C12orf65	CDK2	ppi	1
USP37	CDK2	ppi	1
USP37	CCNA2	ppi	1
ORC5	MCM7	ppi	1
ORC5	MCM2	ppi	1
ORC5	MCM5	ppi	1
ORC5	ORC4	ppi	1
ORC5	CDC45	ppi	1
ORC5	ORC6	ppi	1
ORC5	CDC6	ppi	1
ORC5	RPA2	ppi	1
ORC5	CDC7	ppi	1
ORC5	ORC2	ppi	1
ORC5	DBF4	ppi	1
ORC5	MCM3	ppi	1
ORC5	ORC3	ppi	1
ORC5	MCM4	ppi	1
ORC5	LAMB2	ppi	1
CCNA1	MCM6	ppi	1
