PathwayIDs;PathwayNames;PathwayBackgroundNames;PathwaySizes;TargetSizes;IntersectionSize;BackgroundSizes;pValue;pAdjusted;Intersection
WP4312;Rett syndrome causing genes;WP_allPathways_request_2022_08_24.gmt;48;43;2;12399;0.01197870537344373;0.3804995277706077;NCOR2 TBL1X
WP4746;Thyroid hormones production and peripheral downstream signaling effects;WP_allPathways_request_2022_08_24.gmt;92;43;3;12399;0.00393665394690404;0.3804995277706077;PPARGC1A THRA THRB
WP4657;22q11.2 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;149;43;3;12399;0.014776680690120687;0.3804995277706077;SREBF1 SRF TXNRD2
WP4545;Oxysterols derived from cholesterol;WP_allPathways_request_2022_08_24.gmt;46;43;2;12399;0.01103924961278517;0.3804995277706077;NR1H2 NR1I2
WP2059;Alzheimer's disease and miRNA effects;WP_allPathways_request_2022_08_24.gmt;275;43;3;12399;0.0695913784613715;1.0;NRBF2 PSMC4 PSMC5
WP5101;Congenital generalized lipodystrophy;WP_allPathways_request_2022_08_24.gmt;18;43;0;12399;1.0;1.0;
WP5087;Malignant pleural mesothelioma;WP_allPathways_request_2022_08_24.gmt;436;43;1;12399;0.7860350644739287;1.0;PPARGC1A
WP5074;Kallmann syndrome;WP_allPathways_request_2022_08_24.gmt;24;43;0;12399;1.0;1.0;
WP5053;Development of ureteric collection system;WP_allPathways_request_2022_08_24.gmt;60;43;0;12399;1.0;1.0;
WP5052;Nephrogenesis;WP_allPathways_request_2022_08_24.gmt;18;43;0;12399;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;WP_allPathways_request_2022_08_24.gmt;14;43;0;12399;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;WP_allPathways_request_2022_08_24.gmt;9;43;0;12399;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;WP_allPathways_request_2022_08_24.gmt;3;43;0;12399;1.0;1.0;
WP4950;16p11.2 distal deletion syndrome;WP_allPathways_request_2022_08_24.gmt;33;43;0;12399;1.0;1.0;
WP5102;Familial partial lipodystrophy;WP_allPathways_request_2022_08_24.gmt;30;43;1;12399;0.09908445657597545;1.0;SREBF1
WP4949;16p11.2 proximal deletion syndrome;WP_allPathways_request_2022_08_24.gmt;81;43;0;12399;1.0;1.0;
WP4947;Nitric oxide metabolism in cystic fibrosis;WP_allPathways_request_2022_08_24.gmt;13;43;0;12399;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;32;43;0;12399;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;10;43;0;12399;1.0;1.0;
WP4932;7q11.23 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;113;43;0;12399;1.0;1.0;
WP4906;3q29 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;75;43;0;12399;1.0;1.0;
WP4905;1q21.1 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;36;43;0;12399;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;WP_allPathways_request_2022_08_24.gmt;57;43;1;12399;0.18001573376337004;1.0;SREBF1
WP4871;Kisspeptin/kisspeptin receptor system in the ovary;WP_allPathways_request_2022_08_24.gmt;39;43;0;12399;1.0;1.0;
WP4971;Phosphoinositides metabolism;WP_allPathways_request_2022_08_24.gmt;49;43;0;12399;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;WP_allPathways_request_2022_08_24.gmt;22;43;0;12399;1.0;1.0;
WP5104;Acquired partial lipodystrophy / Barraquer-Simons syndrome;WP_allPathways_request_2022_08_24.gmt;10;43;0;12399;1.0;1.0;
WP5108;Familial  hyperlipidemia type 1;WP_allPathways_request_2022_08_24.gmt;18;43;0;12399;1.0;1.0;
WP5223;2q21.1 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;42;43;0;12399;1.0;1.0;
WP5222;2q13 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;68;43;0;12399;1.0;1.0;
WP5221;2q11.2 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;65;43;1;12399;0.20260015190688155;1.0;MMS19
WP5202;Alstrom syndrome;WP_allPathways_request_2022_08_24.gmt;33;43;0;12399;1.0;1.0;
WP5200;Dravet syndrome;WP_allPathways_request_2022_08_24.gmt;24;43;0;12399;1.0;1.0;
WP5195;Disorders in ketolysis;WP_allPathways_request_2022_08_24.gmt;5;43;0;12399;1.0;1.0;
WP5193;Cholesterol synthesis disorders;WP_allPathways_request_2022_08_24.gmt;18;43;0;12399;1.0;1.0;
WP5190;Creatine pathway;WP_allPathways_request_2022_08_24.gmt;5;43;0;12399;1.0;1.0;
WP5189;Copper metabolism;WP_allPathways_request_2022_08_24.gmt;4;43;0;12399;1.0;1.0;
WP5178;Disorders of fructose metabolism;WP_allPathways_request_2022_08_24.gmt;14;43;0;12399;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;WP_allPathways_request_2022_08_24.gmt;20;43;0;12399;1.0;1.0;
WP5175;Disorders in ketone body synthesis;WP_allPathways_request_2022_08_24.gmt;5;43;0;12399;1.0;1.0;
WP5173;Disorders of galactose metabolism ;WP_allPathways_request_2022_08_24.gmt;13;43;0;12399;1.0;1.0;
WP5171;Leukotriene metabolic pathway;WP_allPathways_request_2022_08_24.gmt;13;43;0;12399;1.0;1.0;
WP5169;Hemesynthesis defects and porphyrias;WP_allPathways_request_2022_08_24.gmt;9;43;0;12399;1.0;1.0;
WP5166;Glyoxylate metabolism;WP_allPathways_request_2022_08_24.gmt;11;43;0;12399;1.0;1.0;
WP5124;Alzheimer's disease;WP_allPathways_request_2022_08_24.gmt;262;43;3;12399;0.062013597248940525;1.0;NRBF2 PSMC4 PSMC5
WP5120;Inclusion body myositis;WP_allPathways_request_2022_08_24.gmt;11;43;0;12399;1.0;1.0;
WP5114;Nucleotide excision repair in xeroderma pigmentosum ;WP_allPathways_request_2022_08_24.gmt;74;43;0;12399;1.0;1.0;
WP5112;Familial hyperlipidemia type 5;WP_allPathways_request_2022_08_24.gmt;15;43;0;12399;1.0;1.0;
WP5111;Familial hyperlipidemia type 4;WP_allPathways_request_2022_08_24.gmt;22;43;0;12399;1.0;1.0;
WP5110;Familial hyperlipidemia type 3;WP_allPathways_request_2022_08_24.gmt;13;43;0;12399;1.0;1.0;
WP5109;Familial hyperlipidemia type 2;WP_allPathways_request_2022_08_24.gmt;16;43;0;12399;1.0;1.0;
WP4844;Influence of laminopathies on Wnt signaling;WP_allPathways_request_2022_08_24.gmt;37;43;1;12399;0.12078614393444644;1.0;SREBF1
WP4842;Mammalian disorder of sexual development;WP_allPathways_request_2022_08_24.gmt;25;43;0;12399;1.0;1.0;
WP4823;Genes controlling nephrogenesis;WP_allPathways_request_2022_08_24.gmt;44;43;0;12399;1.0;1.0;
WP5224;2q37 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;168;43;1;12399;0.4443482068051649;1.0;MAP4
WP4298;Acute viral myocarditis;WP_allPathways_request_2022_08_24.gmt;85;43;0;12399;1.0;1.0;
WP4297;Thiamine metabolic pathways;WP_allPathways_request_2022_08_24.gmt;9;43;0;12399;1.0;1.0;
WP4292;Methionine metabolism leading to sulfur amino acids and related disorders;WP_allPathways_request_2022_08_24.gmt;11;43;0;12399;1.0;1.0;
WP4288;MTHFR deficiency;WP_allPathways_request_2022_08_24.gmt;24;43;0;12399;1.0;1.0;
WP4271;Vitamin B12 disorders;WP_allPathways_request_2022_08_24.gmt;13;43;0;12399;1.0;1.0;
WP4259;Disorders of folate metabolism and transport;WP_allPathways_request_2022_08_24.gmt;13;43;0;12399;1.0;1.0;
WP4236;Krebs cycle disorders;WP_allPathways_request_2022_08_24.gmt;7;43;0;12399;1.0;1.0;
WP4228;Vitamin B6-dependent and responsive disorders;WP_allPathways_request_2022_08_24.gmt;4;43;0;12399;1.0;1.0;
WP4225;Pyrimidine metabolism and related diseases;WP_allPathways_request_2022_08_24.gmt;17;43;0;12399;1.0;1.0;
WP4224;Purine metabolism and related disorders;WP_allPathways_request_2022_08_24.gmt;22;43;0;12399;1.0;1.0;
WP4220;Neurotransmitter disorders;WP_allPathways_request_2022_08_24.gmt;4;43;0;12399;1.0;1.0;
WP4157;GABA metabolism (aka GHB);WP_allPathways_request_2022_08_24.gmt;6;43;0;12399;1.0;1.0;
WP4156;Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine;WP_allPathways_request_2022_08_24.gmt;10;43;0;12399;1.0;1.0;
WP4153;Degradation pathway of sphingolipids, including diseases;WP_allPathways_request_2022_08_24.gmt;15;43;0;12399;1.0;1.0;
WP3998;Prader-Willi and Angelman syndrome;WP_allPathways_request_2022_08_24.gmt;68;43;0;12399;1.0;1.0;
WP3995;Prion disease pathway;WP_allPathways_request_2022_08_24.gmt;33;43;0;12399;1.0;1.0;
WP3853;ERK pathway in Huntington's disease;WP_allPathways_request_2022_08_24.gmt;15;43;0;12399;1.0;1.0;
WP3584;MECP2 and associated Rett syndrome;WP_allPathways_request_2022_08_24.gmt;73;43;0;12399;1.0;1.0;
WP3569;Fanconi Anemia Pathway;WP_allPathways_request_2022_08_24.gmt;39;43;0;12399;1.0;1.0;
WP2447;Amyotrophic lateral sclerosis (ALS);WP_allPathways_request_2022_08_24.gmt;38;43;0;12399;1.0;1.0;
WP2371;Parkinson's disease pathway;WP_allPathways_request_2022_08_24.gmt;47;43;0;12399;1.0;1.0;
WP4299;Lamin A-processing pathway;WP_allPathways_request_2022_08_24.gmt;3;43;0;12399;1.0;1.0;
WP4830;GDNF/RET signaling axis;WP_allPathways_request_2022_08_24.gmt;23;43;0;12399;1.0;1.0;
WP4320;Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome;WP_allPathways_request_2022_08_24.gmt;37;43;1;12399;0.12078614393444644;1.0;SREBF1
WP4506;Tyrosine metabolism and related disorders;WP_allPathways_request_2022_08_24.gmt;5;43;0;12399;1.0;1.0;
WP4814;Somatic sex determination;WP_allPathways_request_2022_08_24.gmt;14;43;0;12399;1.0;1.0;
WP4804;Cholesterol biosynthesis with skeletal dysplasias;WP_allPathways_request_2022_08_24.gmt;7;43;0;12399;1.0;1.0;
WP4803;Ciliopathies;WP_allPathways_request_2022_08_24.gmt;184;43;0;12399;1.0;1.0;
WP4792;Purine metabolism;WP_allPathways_request_2022_08_24.gmt;13;43;0;12399;1.0;1.0;
WP4688;Serine metabolism;WP_allPathways_request_2022_08_24.gmt;8;43;0;12399;1.0;1.0;
