multiplex	node	score
2	WP5087	0.0028537817390292108
2	WP4673	0.0008738363753969064
2	WP2059	0.0007843448757460336
2	WP5124	0.0007843448757460336
2	WP4298	0.0007338842639625392
2	WP3584	0.0006071414226511553
2	WP4746	0.0006001905180497231
2	WP5224	0.0005700632652881614
2	WP4549	0.0005555234639276406
2	WP4541	0.0005217114589448648
2	WP4657	0.0005150605499554789
2	WP4932	0.0004954482789240248
2	WP5053	0.00045431205765299366
2	WP4949	0.0004473660004663216
2	WP4312	0.00039577063628612436
2	WP5114	0.0003947792432905411
2	WP2447	0.0003853365081333727
2	WP4879	0.0003351169658711553
2	WP4803	0.00031113676395760675
2	WP4540	0.0003097614283711228
2	WP4906	0.00030839429547812285
2	WP3995	0.00028191453648267623
2	WP5222	0.00027065942154463077
2	WP3998	0.0002449365842716035
2	WP2371	0.000231981078555429
2	WP4823	0.0002209774468765175
2	WP4545	0.0002173996276390127
2	WP4288	0.00020211039770122016
2	WP4320	0.00019920059824499905
2	WP5102	0.0001930662857615398
2	WP4224	0.00017208629929010914
2	WP4577	0.00017161304871892775
2	WP4656	0.0001558648339322186
2	WP4971	0.00014612529959941433
2	WP4830	0.0001447048664423982
2	WP4871	0.0001430497851089946
2	WP5074	0.00013799811604437923
2	WP4535	0.00013412243597055748
2	WP5202	0.0001338630053354777
2	WP4844	0.00012652635818145212
2	WP5178	0.00012647419724521293
2	WP5171	0.00012540454755657446
2	WP5052	0.00012183543146204043
2	WP4950	0.00012162854356570079
2	WP4905	0.00010928354800972168
2	WP3569	9.987636181779502e-05
2	WP5103	9.844812345654356e-05
2	WP5221	9.590609351462627e-05
2	WP5193	9.511164972524174e-05
2	WP4947	9.022775247316833e-05
2	WP4942	8.581433824384098e-05
2	WP4595	8.465269698159162e-05
2	WP4522	8.410895127053291e-05
2	WP4842	8.320084327422518e-05
2	WP4686	8.061579628085772e-05
2	WP4225	8.049493607564415e-05
2	WP4297	7.45055915343134e-05
2	WP5110	6.987032070631186e-05
2	WP4792	6.432278304302891e-05
2	WP5195	6.378350504194123e-05
2	WP3853	6.340012815636456e-05
2	WP5190	6.237710140168227e-05
2	WP5101	6.219007134398913e-05
2	WP4523	6.113328912822195e-05
2	WP4814	5.851730234662581e-05
2	WP5173	5.5029379372797396e-05
2	WP5200	5.363390454827221e-05
2	WP5176	5.2687679148059695e-05
2	WP5108	4.977873667005144e-05
2	WP5120	4.781777789590987e-05
2	WP4259	3.813549827506039e-05
2	WP5169	3.7117840562831054e-05
2	WP4504	3.413609522190515e-05
2	WP4688	3.270277733428845e-05
2	WP5189	3.1636461209348504e-05
2	WP4156	3.160794953993593e-05
2	WP5166	3.148583726125965e-05
2	WP4220	3.109614650559826e-05
2	WP5111	2.907545573459254e-05
2	WP4524	2.7393983546683815e-05
2	WP5109	2.5538994043082133e-05
2	WP4292	2.174786325124011e-05
2	WP4518	1.969832679524775e-05
2	WP5112	1.900181678281264e-05
2	WP4157	1.7889533854128575e-05
2	WP5175	1.7201942877764126e-05
2	WP5223	1.6564774451661034e-05
2	WP5104	1.6541765788417684e-05
2	WP4804	1.4094144921090657e-05
2	WP4153	1.3913878035563121e-05
2	WP4507	1.1114182499593688e-05
2	WP5030	1.0598475176548888e-05
2	WP4521	9.225095636610541e-06
2	WP4236	8.372195112949865e-06
2	WP5037	8.072586037923027e-06
2	WP4271	3.3334527331403477e-06
2	WP4940	3.0734206219715915e-06
2	WP4519	2.5173697135952596e-06
2	WP4299	2.3260713779305422e-06
2	WP4506	2.1237946728974547e-06
2	WP4228	2.050080652709257e-06
2	WP5031	9.780439939963206e-07
