GeneSymbol	ActiveModule	ActiveGene	overlapSignificant
MMP10	1	True	True
PCSK4	1	False	True
ASB2	1	False	True
IDE	1	False	True
ELN	1	False	True
IGFBP1	1	False	True
IGFBP6	1	True	True
FBN2	1	True	True
CCL3L3	1	False	True
CCL23	1	False	True
VCAN	1	False	True
VASN	1	False	True
TF	1	False	True
LAMA5	1	True	True
IGFBP4	1	False	True
TGFB3	1	True	True
BCAN	1	False	True
MMP2	1	True	True
DAG1	1	True	True
ITGA3	1	True	True
CAV3	1	False	True
CAV1	1	False	True
CCL20	1	True	True
MEP1A	1	False	True
PAPPA2	1	False	True
NES	1	True	True
VTN	1	False	True
ITGB6	1	False	True
PZP	1	False	True
CCL7	1	False	True
F7	1	False	True
F3	1	True	True
IGFBP3	1	True	True
PLG	1	False	True
ADAM10	1	True	True
SDC4	1	False	True
CCR6	1	False	True
LTBP1	1	False	True
THBS2	1	False	True
TGFBR3	1	False	True
FLNA	1	False	True
MMP7	1	True	True
CXCL6	1	False	True
IGF2	1	True	True
IGF1	1	False	True
NMRK2	1	False	True
CCL3	1	True	True
ITGB3	1	False	True
MMP9	1	True	True
IGFBP7	1	False	True
TGFB2	1	True	True
IGFBP5	1	True	True
TIMP4	1	False	True
IGFALS	1	False	True
FLNB	1	True	True
CD151	1	False	True
ITGB1	1	False	True
CCR1	1	True	True
NOV	1	False	True
PDIA3	1	False	True
LAMA2	1	True	True
GRAMD1C	1	True	True
MMP13	1	True	True
FBN1	1	False	True
CXCL5	1	False	True
MEP1B	1	False	True
PCSK9	1	False	True
THBS1	1	False	True
MAFB	2	True	False
BACH1	2	False	False
JUNB	2	False	False
ATF3	2	True	False
RBM14	2	False	False
RUNX2	2	True	False
MAZ	2	False	False
JUN	2	True	False
BATF2	2	False	False
CEBPE	2	True	False
ATF5	2	False	False
SOX9	2	True	False
USF2	2	False	False
FOS	2	True	False
ATF4	2	False	False
MAF	2	False	False
BACH2	2	False	False
NFE2L3	2	True	False
RPS6KA2	2	False	False
ETS1	2	False	False
NFE2L1	2	False	False
EGLN3	2	True	False
EPAS1	2	True	False
UTF1	2	True	False
ATF2	2	False	False
ARL6IP4	2	False	False
BATF	2	False	False
APLP2	2	True	False
MAFF	2	True	False
OVOL1	2	False	False
RUNX1	2	True	False
CEBPB	2	True	False
LUZP4	2	False	False
JUND	2	True	False
LINC00461	2	False	False
FOXJ2	2	False	False
HOXA5	2	True	False
DNMT3L	2	False	False
ZSCAN31	2	False	False
DDIT3	2	True	False
SPEN	2	False	False
TSC22D3	2	True	False
FOSL2	2	False	False
CEBPA	2	False	False
EGR1	2	True	False
SRA1	2	False	False
CEBPG	2	True	False
DBP	2	False	False
SLC25A12	2	False	False
HOXD12	2	False	False
IL7	2	False	False
SPIB	2	False	False
SPI1	2	True	False
NFE2L2	2	True	False
MAFK	2	False	False
GTF2A1L	2	False	False
MAFG	2	False	False
ATF1	2	False	False
USF1	2	False	False
BATF3	2	False	False
C14orf80	2	False	False
NFE2	2	False	False
KDM2B	2	False	False
ETS2	2	False	False
SNAPC5	2	False	False
FOSL1	2	False	False
MED23	2	False	False
NFIL3	2	False	False
PPARG	3	True	True
ALOX15B	3	False	True
ARID1A	3	False	True
RARG	3	True	True
ITGB1BP2	3	False	True
NR2F1	3	True	True
NSD1	3	False	True
NCOA3	3	True	True
IQCK	3	False	True
MMS19	3	False	True
RARA	3	True	True
PRDX6	3	False	True
KLF5	3	False	True
RXRA	3	True	True
MAP4	3	False	True
RXRB	3	True	True
NR2F6	3	False	True
NR2C2	3	False	True
HELZ2	3	False	True
PPARA	3	True	True
NR2F2	3	True	True
TRIP4	3	False	True
NCOA4	3	False	True
MED24	3	False	True
RAD54L2	3	False	True
NKX2-1	3	False	True
ONECUT1	3	False	True
NR0B2	3	True	True
MAP6	3	False	True
CHD9	3	False	True
ZBTB20	3	False	True
AKAP13	3	False	True
IRX4	3	False	True
CEP350	3	False	True
PPARD	3	True	True
SRF	3	False	True
NCOA2	3	False	True
FABP1	3	False	True
RARB	3	True	True
SMARCD3	3	False	True
NR0B1	3	True	True
ESRRA	3	False	True
NRBF2	3	False	True
HR	3	True	True
ZDHHC12	3	False	True
JAZF1	3	False	True
MED21	3	True	True
THRB	3	False	True
PNRC1	3	True	True
HNF4G	3	False	True
RXRG	3	True	True
EDF1	3	False	True
NR5A2	3	False	True
NRIP1	3	True	True
TNP1	3	False	True
ROBO4	3	False	True
MED12	3	False	True
NANOG	3	True	True
ESRRB	3	False	True
