source	target	link	AMI_number
IL7	CEBPE	ppi	1
CEBPG	FOS	ppi	1
CEBPG	ATF4	ppi	1
CEBPG	DDIT3	ppi	1
CEBPG	ATF2	ppi	1
CEBPG	BATF3	ppi	1
CEBPG	BATF	ppi	1
CEBPG	FOSL1	ppi	1
CEBPG	CEBPA	ppi	1
CEBPG	JUN	ppi	1
CEBPG	CEBPB	ppi	1
CEBPG	ATF3	ppi	1
CEBPG	CEBPE	ppi	1
CEBPG	BATF2	ppi	1
CEBPG	DBP	ppi	1
JUNB	FOS	ppi	1
JUNB	ATF4	ppi	1
JUNB	DDIT3	ppi	1
JUNB	BATF3	ppi	1
JUNB	BATF	ppi	1
JUNB	FOSL1	ppi	1
JUNB	DNMT3L	ppi	1
JUNB	APLP2	ppi	1
JUNB	ATF3	ppi	1
JUNB	BATF2	ppi	1
DNMT3L	FOS	ppi	1
DNMT3L	ATF4	ppi	1
DNMT3L	DDIT3	ppi	1
DNMT3L	ATF2	ppi	1
DNMT3L	FOSL2	ppi	1
DNMT3L	NFIL3	ppi	1
DNMT3L	FOSL1	ppi	1
DNMT3L	ATF1	ppi	1
DNMT3L	EGR1	ppi	1
DNMT3L	ETS1	ppi	1
DNMT3L	JUN	ppi	1
DNMT3L	ATF3	ppi	1
DNMT3L	HOXA5	ppi	1
DNMT3L	MAFK	ppi	1
RUNX1	FOS	ppi	1
RUNX1	SPI1	ppi	1
RUNX1	SPEN	ppi	1
RUNX1	JUN	ppi	1
RUNX1	CEBPB	ppi	1
RUNX1	RBM14	ppi	1
JUN	FOS	ppi	1
JUN	ATF4	ppi	1
JUN	DDIT3	ppi	1
JUN	ATF2	ppi	1
JUN	FOSL2	ppi	1
JUN	BATF3	ppi	1
JUN	TSC22D3	ppi	1
JUN	BATF	ppi	1
JUN	NFE2L2	ppi	1
JUN	FOSL1	ppi	1
JUN	SPI1	ppi	1
JUN	ETS1	ppi	1
JUN	ETS2	ppi	1
JUN	MAZ	ppi	1
JUN	RPS6KA2	ppi	1
JUN	APLP2	ppi	1
JUN	EPAS1	ppi	1
JUN	SPIB	ppi	1
JUN	ATF3	ppi	1
JUN	RUNX2	ppi	1
JUN	CEBPE	ppi	1
JUN	NFE2L1	ppi	1
JUN	BATF2	ppi	1
MAFB	FOS	ppi	1
MAFB	ATF4	ppi	1
MAFB	HOXD12	ppi	1
MAFB	FOSL1	ppi	1
MAFB	MAF	ppi	1
MAFB	BACH1	ppi	1
TSC22D3	FOS	ppi	1
EPAS1	DDIT3	ppi	1
EPAS1	BATF3	ppi	1
EPAS1	EGLN3	ppi	1
EPAS1	BATF	ppi	1
EPAS1	BATF2	ppi	1
EPAS1	DBP	ppi	1
RBM14	RUNX2	ppi	1
CEBPE	FOS	ppi	1
CEBPE	ATF4	ppi	1
CEBPE	DDIT3	ppi	1
CEBPE	BATF3	ppi	1
CEBPE	GTF2A1L	ppi	1
CEBPE	BATF	ppi	1
CEBPE	FOSL1	ppi	1
CEBPE	CEBPA	ppi	1
CEBPE	KDM2B	ppi	1
CEBPE	ATF3	ppi	1
CEBPE	BATF2	ppi	1
CEBPE	ATF5	ppi	1
FOSL1	ATF4	ppi	1
FOSL1	DDIT3	ppi	1
FOSL1	ATF2	ppi	1
FOSL1	USF1	ppi	1
FOSL1	MAF	ppi	1
FOSL1	CEBPA	ppi	1
FOSL1	ATF3	ppi	1
RPS6KA2	FOS	ppi	1
ATF3	FOS	ppi	1
ATF3	ATF4	ppi	1
ATF3	DDIT3	ppi	1
ATF3	ATF2	ppi	1
ATF3	BATF3	ppi	1
ATF3	BATF	ppi	1
ATF3	CEBPA	ppi	1
ATF3	MAFF	ppi	1
ATF3	MAFG	ppi	1
ATF3	SRA1	ppi	1
ATF3	JUND	ppi	1
ATF3	DBP	ppi	1
HOXD12	MAF	ppi	1
HOXD12	MAFF	ppi	1
HOXD12	MAFG	ppi	1
HOXD12	MAFK	ppi	1
CEBPA	FOS	ppi	1
CEBPA	ATF4	ppi	1
CEBPA	ATF2	ppi	1
CEBPA	BATF3	ppi	1
CEBPA	BATF	ppi	1
CEBPA	SPI1	ppi	1
CEBPA	CEBPB	ppi	1
CEBPA	SRA1	ppi	1
CEBPA	BATF2	ppi	1
CEBPA	ATF5	ppi	1
CEBPA	DBP	ppi	1
SOX9	MAF	ppi	1
SOX9	RUNX2	ppi	1
MED23	ETS1	ppi	1
MED23	CEBPB	ppi	1
USF2	FOS	ppi	1
USF2	USF1	ppi	1
USF2	MAF	ppi	1
HOXA5	DDIT3	ppi	1
HOXA5	GTF2A1L	ppi	1
ZSCAN31	DDIT3	ppi	1
FOXJ2	EGLN3	ppi	1
RUNX2	FOS	ppi	1
RUNX2	ETS1	ppi	1
EGR1	CEBPB	ppi	1
EGR1	SRA1	ppi	1
EGLN3	ATF4	ppi	1
CEBPB	DDIT3	ppi	1
CEBPB	SPI1	ppi	1
DDIT3	FOS	ppi	1
DDIT3	ATF4	ppi	1
DDIT3	ATF2	ppi	1
DDIT3	FOSL2	ppi	1
DDIT3	SNAPC5	ppi	1
DDIT3	BATF3	ppi	1
DDIT3	BATF	ppi	1
DDIT3	NFIL3	ppi	1
DDIT3	MAFF	ppi	1
DDIT3	MAFG	ppi	1
DDIT3	SRA1	ppi	1
DDIT3	JUND	ppi	1
DDIT3	BACH1	ppi	1
DDIT3	BATF2	ppi	1
DDIT3	BACH2	ppi	1
DDIT3	DBP	ppi	1
DDIT3	C14orf80	ppi	1
USF1	FOS	ppi	1
ETS1	ATF2	ppi	1
ETS1	ARL6IP4	ppi	1
ETS1	SPI1	ppi	1
ETS1	ETS2	ppi	1
ETS1	MAF	ppi	1
ETS1	APLP2	ppi	1
