WPID;WPTitle;Source;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;13;3;10531;0.00678727405987268;0.08823456277834484;LEF1 SOX2 TLE2
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;18;0;18089;1.0;1.0;
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;18;0;18089;1.0;1.0;
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;18;0;18089;1.0;1.0;
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;18;0;18089;1.0;1.0;
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;13;0;10531;1.0;1.0;
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;13;0;10531;1.0;1.0;
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;13;1;10531;0.25250251970098175;1.0;TLE2
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;13;0;10531;1.0;1.0;
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;15;0;7411;1.0;1.0;
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;15;0;7411;1.0;1.0;
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;15;0;7411;1.0;1.0;
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;15;0;7411;1.0;1.0;
