PathwayIDs;PathwayNames;PathwayBackgroundNames;PathwaySizes;TargetSizes;IntersectionSize;BackgroundSizes;pValue;pAdjusted;Intersection
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;1047;76;18089;2.585439748888643e-27;3.3610716735552354e-26;ACTA2 ALDH1A2 ASS1 BAX BCL2 BMP2 BMP4 BMP7 CASP9 CAT CDKN1C CFLAR COL4A1 CTNNB1 CYP26A1 CYP26B1 DCN EFNB2 EGR1 EYA1 FGF10 FGF2 FGF8 FOXC1 GATA3 GREB1L HAS2 HES1 HNF1B HOXB7 HPGD ID2 ID3 IRX3 ITGA3 JAG1 LAMA5 LHX1 MMP9 MYC NFIA NOTCH1 NOTCH2 ODC1 PBX1 PDGFA PDGFRA PDGFRB PLCE1 RARA RARB RBP4 RDH10 RET RIDA SDC1 SERPINF1 SHH SLIT2 SMAD2 SMAD3 SOX9 STAT1 STRA6 SULF2 TACSTD2 TFAP2A TGFB1 TGFB2 TGFBR1 TIPARP VEGFA WNT4 WNT5A WT1 ZBTB16
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;1047;73;18089;6.017576184465329e-26;3.911424519902464e-25;ACTA2 ALDH1A2 ASS1 BAX BCL2 BMP2 BMP4 BMP7 CASP9 CAT CDKN1C CFLAR CTNNB1 CYP26A1 CYP26B1 DCN EFNB2 EGR1 EYA1 FGF10 FGF2 FGF8 FOXC1 GATA3 GREB1L HAS2 HES1 HNF1B HOXB7 HPGD ID2 ID3 IRX3 ITGA3 JAG1 LAMA5 LHX1 MMP9 MYC NOTCH1 NOTCH2 ODC1 PBX1 PDGFA PDGFRA PDGFRB PLCE1 RARA RARB RDH10 RET RIDA SDC1 SERPINF1 SHH SLIT2 SMAD2 SMAD3 SOX9 STAT1 STRA6 SULF2 TACSTD2 TFAP2A TGFB1 TGFB2 TGFBR1 TIPARP VEGFA WNT4 WNT5A WT1 ZBTB16
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;1047;28;18089;4.640594790672954e-13;2.0109244092916134e-12;BCL2 BMP2 BMP4 BMP7 CTNNB1 EYA1 FGF10 FGF2 FGF8 GATA3 GREB1L HES1 HNF1B HOXB7 IRX3 LAMA5 LHX1 MYC PBX1 PDGFRB SHH SOX9 STAT1 TACSTD2 TGFB1 VEGFA WNT4 WT1
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;733;16;7411;5.663668483417135e-06;1.8406922571105688e-05;BMP4 CCND1 CTNNB1 FOXC1 GATA3 GREB1L LHX1 MYCN RARA RARB RARG RET SHH SLIT2 TGFB2 WT1
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;733;15;7411;7.890771448574247e-06;2.0516005766293043e-05;CTNNB1 EYA1 FGF8 FOXC1 ITGA3 KDR LHX1 NOTCH2 PDGFRB RET SHH SLIT2 VEGFA WNT4 WT1
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;1047;10;18089;0.00010875652285493526;0.00020197639958773693;BMP4 EYA1 GATA3 GREB1L HNF1B NRIP1 PBX1 RET SLIT2 WNT4
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;733;8;7411;9.51209130118268e-05;0.00020197639958773693;ALDH1A2 BMP7 FGF8 GREB1L JAG1 MEIS1 NOTCH2 WNT4
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;796;32;10531;0.0006916594407426011;0.0011239465912067268;ACTA2 ADAM10 AKT1 CCND1 CREB1 DLK1 EGFR ELF3 FABP7 H2AC6 H2BC12 H4-16 HES1 HEY1 JAG1 JUN LFNG MDK MYC NOTCH1 NOTCH2 PBX1 PSMB8 PSMB9 PSME2 RUNX1 SMAD3 ST3GAL4 ST3GAL6 STAT1 TFDP2 TP53
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;733;8;7411;0.0011194505014682126;0.001616984057676307;BMP4 CTNNB1 EYA1 FOXC1 GATA3 LHX1 RET SLIT2
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;796;31;10531;0.11494875809642476;0.14943338552535218;AKT1 CLTB CTBP2 CTNNB1 DACT1 DKK1 FZD2 GNB4 GNG4 GSK3B H2AC6 H2BC12 H4-16 ITPR3 MYC PPP3CA PRICKLE1 PRKCA PRKCB PSMB8 PSMB9 PSME2 RAC1 SOX3 SOX7 SOX9 TERT WNT3 WNT4 WNT5A XIAP
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;796;5;10531;0.15608071524849249;0.18445902711185475;GRB10 IRS2 PIK3R1 PRKCA RET
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;796;2;10531;0.39945769451677243;0.43274583572650344;CTSD CTSG
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;796;8;10531;0.8843291805723754;0.8843291805723754;GSK3B PSMB8 PSMB9 PSME2 SHH TUBA4A TUBB2B TUBB3
