source	target	link	AMI_number
VCAN	PF4	ppi	1
VCAN	CCL2	ppi	1
VCAN	MMP9	ppi	1
IGFBP4	IGF2	ppi	1
IGFBP4	IGF1	ppi	1
IGSF1	IGF1	ppi	1
PLG	SERPINE1	ppi	1
PLG	IGFBP3	ppi	1
PLG	F3	ppi	1
PLG	THBS1	ppi	1
PCSK4	IGF2	ppi	1
ACKR1	CCL2	ppi	1
CXCL6	MMP9	ppi	1
NOV	IGF2	ppi	1
NOV	INS	ppi	1
NOV	IGF1	ppi	1
NOV	ITGAV	ppi	1
NMRK2	IGF2	ppi	1
IGF2	VTN	ppi	1
IGF2	IGFBP3	ppi	1
IGF2	IGFBP5	ppi	1
IGF2	IDE	ppi	1
IGF2	IGFBP6	ppi	1
IGF2	TF	ppi	1
IGF2	IGFBP7	ppi	1
IGF2	IGFBP1	ppi	1
F3	F7	ppi	1
IGFBP3	IGF1	ppi	1
IGFBP3	TF	ppi	1
IGFBP3	PAPPA2	ppi	1
IGFBP3	LTBP1	ppi	1
IGFBP3	IGFALS	ppi	1
TGFB2	VTN	ppi	1
TGFB2	VASN	ppi	1
TGFB2	PZP	ppi	1
THBD	PF4	ppi	1
THBD	F2	ppi	1
THBD	PSENEN	ppi	1
TIMP4	MMP2	ppi	1
VASN	TGFB3	ppi	1
IGFBP5	VTN	ppi	1
IGFBP5	IGF1	ppi	1
IGFBP5	THBS1	ppi	1
IGFBP5	LTBP1	ppi	1
IGFBP5	IGFALS	ppi	1
SERPINE1	VTN	ppi	1
SERPINE1	F2	ppi	1
MMP9	CXCL5	ppi	1
MMP9	MEP1B	ppi	1
MMP9	MEP1A	ppi	1
CYR61	ITGAV	ppi	1
PCSK9	MMP2	ppi	1
PZP	MMP2	ppi	1
MMP3	BCAN	ppi	1
THBS2	MMP2	ppi	1
ITGB3	ITGA2B	ppi	1
ITGB3	THBS1	ppi	1
ITGB3	ITGAV	ppi	1
INS	IGFBP7	ppi	1
TGFB3	SDC4	ppi	1
TGFB3	TGFBR3	ppi	1
TF	IGF1	ppi	1
F2	ITGA2B	ppi	1
F2	THBS1	ppi	1
IDE	IGF1	ppi	1
IDE	NES	ppi	1
MMP2	THBS1	ppi	1
MMP2	BCAN	ppi	1
IGF1	IGFBP7	ppi	1
MEP1A	GNRH1	ppi	1
MMP13	BCAN	ppi	1
VCAM1	MSN	ppi	2
VCAM1	EZR	ppi	2
VCAM1	ITGAD	ppi	2
VCAM1	CCL17	ppi	2
SLC9A1	CHP1	ppi	2
SLC9A1	CA2	ppi	2
CFH	SELL	ppi	2
PTHLH	PTH1R	ppi	2
PODXL2	SELL	ppi	2
CD44	MSN	ppi	2
CD44	TIAM1	ppi	2
CD44	EZR	ppi	2
SELL	MSN	ppi	2
SELL	EZR	ppi	2
ABCC2	AZIN1	ppi	2
ABCC2	SLC9A3R1	ppi	2
CHP1	SLC9A2	ppi	2
SLC9A3R1	MSN	ppi	2
SLC9A3R1	EZR	ppi	2
SLC9A3R1	SLC4A8	ppi	2
SLC9A3R1	PTH1R	ppi	2
EZR	MSN	ppi	2
EZR	ICAM3	ppi	2
