WPID;WPTitle;Source;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;23;1;10531;0.038621737318797186;0.5020825851443634;CTSD
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;25;0;18089;1.0;1.0;
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;25;0;18089;1.0;1.0;
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;25;0;18089;1.0;1.0;
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;25;0;18089;1.0;1.0;
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;23;0;10531;1.0;1.0;
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;23;0;10531;1.0;1.0;
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;23;0;10531;1.0;1.0;
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;23;0;10531;1.0;1.0;
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;13;0;7411;1.0;1.0;
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;13;0;7411;1.0;1.0;
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;13;0;7411;1.0;1.0;
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;13;0;7411;1.0;1.0;
