geneSymbol	ActiveModule	activeGene	overlapSignificant
ITGA2B	1	False	False
ITGB3	1	True	False
LTBP1	1	False	False
IGFBP5	1	True	False
MEP1B	1	False	False
MMP9	1	True	False
TGFB2	1	True	False
PZP	1	False	False
TIMP4	1	False	False
MMP2	1	True	False
NOV	1	False	False
ITGAV	1	True	False
IGFBP7	1	False	False
IGF1	1	True	False
AUP1	1	False	False
ITGAM	1	True	False
ITGAL	1	True	False
SHARPIN	1	False	False
PCSK4	1	False	False
IGF2	1	True	False
PAPPA2	1	False	False
IGFBP3	1	True	False
CXCL6	1	False	False
BCAN	1	False	False
MMP13	1	True	False
SDC4	1	False	False
TGFB3	1	True	False
IGFBP6	1	True	False
INS	1	True	False
ACKR1	1	False	False
CCL2	1	True	False
MMP3	1	True	False
IGFALS	1	False	False
NES	1	True	False
IDE	1	False	False
IGFBP4	1	True	False
CXCL5	1	False	False
PLAUR	1	False	False
MEP1A	1	False	False
GNRH1	1	True	False
IGSF1	1	False	False
ICAM1	1	True	False
TGFBR3	1	False	False
THBS2	1	False	False
CYR61	1	False	False
VASN	1	False	False
TF	1	False	False
PCSK9	1	False	False
VTN	1	False	False
THBS1	1	False	False
IGFBP1	1	False	False
NMRK2	1	False	False
VCAN	1	False	False
CCR3	1	False	False
CCL7	1	False	False
ITGAD	2	False	False
ICAM3	2	True	False
CA2	2	True	False
SLC4A8	2	False	False
CFH	2	True	False
SELL	2	True	False
CCL17	2	False	False
VCAM1	2	True	False
TIAM1	2	False	False
CD44	2	True	False
SPN	2	True	False
EZR	2	False	False
SLC9A2	2	True	False
CHP1	2	False	False
SLC9A1	2	True	False
PODXL2	2	False	False
MSN	2	False	False
PTHLH	2	True	False
PTH1R	2	True	False
PTH	2	True	False
ABCC2	2	True	False
AZIN1	2	False	False
SLC9A3R1	2	False	False
SERPINB3	3	False	False
CTSK	3	True	False
SMG7	3	False	False
FGFR3	3	True	False
KRT14	3	True	False
HSPA5	3	False	False
BTN3A3	3	False	False
CTSL	3	True	False
KRT8	3	True	False
QRSL1	3	False	False
