geneSymbol	ActiveModule	activeGene
ITGA2B	1	False
ITGB3	1	True
LTBP1	1	False
IGFBP5	1	True
MEP1B	1	False
MMP9	1	True
TGFB2	1	True
PZP	1	False
TIMP4	1	False
MMP2	1	True
NOV	1	False
ITGAV	1	True
IGFBP7	1	False
IGF1	1	True
AUP1	1	False
ITGAM	1	True
ITGAL	1	True
SHARPIN	1	False
PCSK4	1	False
IGF2	1	True
PAPPA2	1	False
IGFBP3	1	True
CXCL6	1	False
BCAN	1	False
MMP13	1	True
SDC4	1	False
TGFB3	1	True
IGFBP6	1	True
INS	1	True
ACKR1	1	False
CCL2	1	True
MMP3	1	True
IGFALS	1	False
NES	1	True
IDE	1	False
IGFBP4	1	True
CXCL5	1	False
PLAUR	1	False
MEP1A	1	False
GNRH1	1	True
IGSF1	1	False
ICAM1	1	True
TGFBR3	1	False
THBS2	1	False
CYR61	1	False
VASN	1	False
TF	1	False
PCSK9	1	False
VTN	1	False
THBS1	1	False
IGFBP1	1	False
NMRK2	1	False
VCAN	1	False
CCR3	1	False
CCL7	1	False
ITGAD	2	False
ICAM3	2	True
CA2	2	True
SLC4A8	2	False
CFH	2	True
SELL	2	True
CCL17	2	False
VCAM1	2	True
TIAM1	2	False
CD44	2	True
SPN	2	True
EZR	2	False
SLC9A2	2	True
CHP1	2	False
SLC9A1	2	True
PODXL2	2	False
MSN	2	False
PTHLH	2	True
PTH1R	2	True
PTH	2	True
ABCC2	2	True
AZIN1	2	False
SLC9A3R1	2	False
SERPINB3	3	False
CTSK	3	True
SMG7	3	False
FGFR3	3	True
KRT14	3	True
HSPA5	3	False
BTN3A3	3	False
CTSL	3	True
KRT8	3	True
QRSL1	3	False
PI3	3	False
KRT1	3	True
LOR	3	False
IVL	3	True
PNN	3	False
KRT18	3	True
BORA	3	False
CSTA	3	False
FGF9	3	True
PKP3	3	False
DSC2	3	True
DSG3	3	True
PKP4	3	False
DSC3	3	True
CCDC17	3	False
CTSD	3	True
UCHL5	3	False
ULBP2	4	False
COL5A1	4	False
MAG	4	False
F2	4	False
PKD1	4	False
F7	4	False
PRELP	4	False
COCH	4	False
AMBP	4	True
LAMB3	4	False
PDGFC	4	False
COL7A1	4	True
LAMC2	4	False
LAMA2	4	False
PSENEN	4	False
COL1A1	4	True
HSPG2	4	False
CAV1	4	False
LAMA1	4	False
CAV3	4	False
PDGFA	4	True
SPARC	4	True
COL2A1	4	False
SDC2	4	True
LAMA5	4	False
DAG1	4	True
COL4A1	4	True
PLG	4	False
F3	4	True
PLAT	4	True
ACHE	4	False
LAMA3	4	False
NID2	4	False
PLAU	4	True
COL1A2	4	True
NID1	4	False
SERPINA5	4	False
FN1	4	False
SERPINI1	4	False
COL6A1	4	False
F10	4	False
THBD	4	True
COL3A1	4	True
PDGFB	4	False
REG3A	4	False
COX8A	4	False
PDGFRA	4	True
FGA	4	False
SERPINE1	4	True
SERPINB2	4	True
SERPINE2	4	False
SCAMP5	4	False
ITGA2	4	False
ENO1	4	False
HELZ2	5	False
PPARA	5	True
ZBTB7C	5	False
SREBF1	5	True
NR0B1	5	False
PPARG	5	True
RARB	5	True
SMARCD3	5	False
ITGB1BP2	5	False
RARG	5	True
RXRA	5	True
ALOX15B	5	False
MAP6	5	False
NCOA2	5	False
NR2F1	5	True
TRIP4	5	False
NR2F2	5	True
CEP350	5	False
FABP1	5	False
TNP1	5	False
MED24	5	False
ARID1A	5	False
NR3C1	5	True
ZBTB20	5	False
HR	5	False
VDR	5	True
KDM5A	5	False
JAZF1	5	False
NSD1	5	False
ZNHIT3	5	False
DAP3	5	False
NR6A1	5	True
NCOA1	5	False
SRF	5	False
RARA	5	True
HNF4A	5	True
PNRC1	5	False
NKX2-1	5	False
RAD54L2	5	False
NCOA4	5	False
NR3C2	5	False
ACSL1	5	True
MECR	5	False
NRIP1	5	True
ESRRB	5	False
KLF5	5	False
NR2F6	5	False
NRBF2	5	False
POU1F1	5	True
MED14	5	False
RXRB	5	False
NR2C2	5	True
ONECUT1	5	False
RXRG	5	True
NCOR2	5	False
TDG	5	False
MED25	5	False
CHD9	5	False
MED16	5	False
MED10	5	False
IRX4	5	False
MMRN2	5	False
ROBO4	5	False
NCOA3	5	False
NLRP10	6	False
AR	6	True
TLN1	6	False
ERBB2	6	True
DOK4	6	False
NDFIP2	6	False
LYN	6	True
COL9A3	6	False
EGFR	6	True
MED12L	6	False
SHC2	6	False
TTC9B	6	False
LETMD1	6	False
HCK	6	True
PDE4A	6	False
GRB14	6	False
ZFP42	6	True
RYBP	6	False
IRS4	6	False
SHC3	6	False
SLA	6	True
ABL1	6	True
SPRR2A	6	False
TUB	6	False
CLCN6	6	False
STAP2	6	False
GP6	6	False
CDON	6	False
MTCH1	6	False
SKAP2	6	False
FYN	6	True
NTRK1	6	True
PTPN22	6	False
ZDHHC16	6	False
MUCL1	6	False
EGF	6	False
TLR8	6	False
BTK	6	True
CSF1R	6	True
CBL	6	False
RPL10	6	False
RIN2	6	False
CENPV	6	False
SH2B3	6	False
ERBB3	6	True
BANK1	6	False
PIK3R3	6	False
APBB2	6	False
TRAT1	6	False
DOK6	6	False
SHE	6	False
FGR	6	True
PTK2	6	True
NEO1	6	False
PDGFRB	6	True
SHC4	6	False
TXK	6	False
RAPGEF1	6	False
TLR6	6	False
SUPT6H	6	False
PTPRR	6	False
CDH2	6	True
GPX1	6	False
NRG1	6	False
KIT	6	False
KITLG	6	True
VAV3	6	False
SH2D5	6	False
LCK	6	False
PECAM1	6	True
GAB3	6	False
ATIC	6	False
SPHK2	6	False
CDH5	6	False
DCBLD2	6	False
SH2D3A	6	False
BCAR1	6	False
RASA1	6	False
PTPRB	6	False
PLCG2	6	False
DLX5	7	False
MSX2	7	True
MSX1	7	True
HOXC8	7	False
SOX2	7	False
CDX1	7	True
FOXD3	7	False
POU5F1	7	True
PITX2	7	True
LEF1	7	True
DLX2	7	False
ZDHHC2	7	False
HOXB1	7	True
PAX6	7	False
SIX3	7	False
NR4A3	7	True
TLE1	7	False
MITF	7	False
FGF19	8	False
FGFR4	8	True
HOXC6	8	False
FGFR2	8	True
RASL10B	8	False
PDLIM2	8	False
WT1	8	True
DIRAS3	8	False
ERRFI1	8	True
KLK7	8	True
STK11	8	False
BEX2	8	True
BCAR3	8	False
FGF10	8	False
ANOS1	8	False
TGFB1	8	True
PSMC3IP	8	False
THRSP	8	True
MTA3	8	False
BMP2	9	True
WFIKKN2	9	False
ENG	9	False
TGFBR1	9	True
CHRDL2	9	False
INHBA	9	True
FKBP1A	9	True
ACVRL1	9	False
FSTL1	9	False
BMPR1A	9	False
GDF5	9	True
BMPR1B	9	False
TGFBR2	9	True
ACVR1	9	False
BMP7	9	True
WFIKKN1	9	False
BMP4	9	True
NOG	9	False
BMPR2	9	False
ACVR1B	9	False
BAMBI	9	False
USF1	10	False
FOSL1	10	True
C19orf68	10	False
JUNB	10	True
MAZ	10	False
JUN	10	True
RUNX1	10	False
MAF	10	False
SOX9	10	True
ETS1	10	True
MED23	10	False
IL7	10	False
CEBPE	10	True
ARL6IP4	10	False
FOS	10	True
LUZP4	10	False
MAFB	10	False
APLP2	10	False
ZNF595	10	False
RPS6KA2	10	False
KDM2B	10	False
HOXA5	10	True
DNMT3L	10	False
TSC22D3	10	False
EGR1	10	True
USF2	10	False
ATF5	10	False
RUNX2	10	False
SRA1	10	False
PRMT3	11	False
STAT1	11	True
GFRA1	11	True
NRTN	11	False
FRS2	11	False
NTRK3	11	True
IL2RB	11	True
IL15	11	False
IL27RA	11	False
RET	11	True
FAU	11	False
NTRK2	11	True
BDNF	11	False
NTF3	11	False
MT-ND4L	11	False
GDNF	11	False
IFNGR2	11	False
IFNG	11	True
CAMP	11	False
IGF1R	11	True
AMY2A	11	False
IFNGR1	11	False
CNTFR	11	True
IL6ST	11	False
SHC1	11	False
SH2B1	11	False
SOCS3	11	False
JAK1	11	False
RACK1	11	False
JAK2	11	False
C9	12	False
CD59	12	True
BST1	12	True
LBP	12	False
EPPIN	12	False
LTF	12	True
ADCYAP1R1	12	True
CLU	12	False
FOLR1	12	True
IRAK3	12	False
CP	12	True
LYZ	12	False
C8A	12	False
GALNT14	12	False
MUC5AC	12	True
MUC7	12	False
GALNT12	12	False
CD14	12	False
FOXA2	13	True
OTX2	13	True
LHX1	13	True
EN2	13	False
GSC	13	True
HLF	14	False
MYB	14	True
HOXD13	14	True
CREBBP	14	False
HMGB1	14	False
HOXD11	14	True
HOXD10	14	True
HOXB4	14	True
SKI	14	False
PPM1K	14	False
GSTM2	15	False
PTEN	15	True
RPL10A	15	False
RPL22L1	15	False
EEF2	15	False
LGALS3	15	True
C1GALT1C1	15	False
NCF2	15	True
S100A9	15	False
PELO	15	False
HSD17B1	15	True
NDFIP1	15	False
NOXA1	15	False
NCF1	15	True
FCGR2A	15	False
NCF4	15	False
PRKCD	15	False
OTUD3	15	False
SLC25A5	15	False
ALCAM	15	False
LGALS1	15	True
MYO1B	15	False
MYOF	15	False
MGAM	15	False
CD6	15	False
TXN	15	False
KBTBD4	15	False
S100A8	15	True
PDCD11	15	False
METTL26	15	False
CYBA	15	False
SSR4	15	False
ATP5A1	15	False
ITGB2	16	True
COPS5	16	False
EDNRA	16	False
EDN1	16	True
CALB1	16	True
CACNA1D	16	False
S100A7	16	True
RANBP9	16	False
IMPA1	16	False
HBEGF	17	True
NRDC	17	True
APAF1	17	False
HSP90AA1	17	True
SMG5	17	False
TERT	17	True
DDX51	17	False
USP50	17	False
ACAA2	17	False
SLC7A11	17	False
SLC7A9	17	False
TGM2	17	True
