multiplex	node	score
2	WP5087	0.005291348640970988
2	WP4541	0.0014601073055160634
2	WP4673	0.0013687601650333983
2	WP4298	0.0011716850817342318
2	WP4746	0.001144321834505649
2	WP5053	0.0011167625231245637
2	WP4657	0.0009647513349323267
2	WP5124	0.0009203585974244824
2	WP2059	0.0009203585974244824
2	WP3584	0.0008037449202810119
2	WP4540	0.0007311105081561746
2	WP4879	0.0007280024640804083
2	WP4549	0.0005723376194501711
2	WP3998	0.0005602789755196396
2	WP5224	0.0005157281299687337
2	WP4949	0.0004946906419345495
2	WP5222	0.0004452204258679694
2	WP3995	0.00044388103879733343
2	WP4823	0.00041317576001789714
2	WP5102	0.00036149170071233746
2	WP5178	0.000343515995957244
2	WP2447	0.0003349806214578781
2	WP4871	0.00031104078094318415
2	WP4932	0.00029506713201527944
2	WP5074	0.00029305933939498084
2	WP4906	0.00026970725331653084
2	WP4535	0.000252063875467048
2	WP4842	0.0002487378855066502
2	WP4844	0.0002478262128137488
2	WP4320	0.00023957943741555448
2	WP4545	0.0002358194986517375
2	WP5052	0.00023024512352280688
2	WP5111	0.00022631721656882542
2	WP4830	0.0002200591787587139
2	WP4595	0.00021042630689605227
2	WP5176	0.00020945711566105007
2	WP4814	0.00020633318607140414
2	WP4288	0.0001955638654411678
2	WP4950	0.00019121619713684352
2	WP2371	0.00017259569602965253
2	WP5221	0.0001692332037468158
2	WP3569	0.00016331081138889973
2	WP4942	0.00015434297873311587
2	WP4577	0.00014769594039131944
2	WP4905	0.00014741371093252958
2	WP4506	0.00012984351354651652
2	WP4259	0.00012573968425105662
2	WP4971	0.00010806909318573796
2	WP5103	0.00010803274649231428
2	WP5109	9.447957758464147e-05
2	WP5101	9.431166766807905e-05
2	WP4522	9.059417728869563e-05
2	WP5108	8.562201541655063e-05
2	WP4947	8.397796217207807e-05
2	WP3853	8.160497739818428e-05
2	WP5112	8.085304141166615e-05
2	WP5110	7.974900606787722e-05
2	WP4220	6.963079809980095e-05
2	WP5173	6.910629230564349e-05
2	WP4656	6.50891079177545e-05
2	WP4688	6.025147908869586e-05
2	WP4312	5.888696330603091e-05
2	WP4803	5.555005593517228e-05
2	WP4523	5.2796116379630475e-05
2	WP5200	5.229896786141309e-05
2	WP4524	4.679555537096152e-05
2	WP5114	3.962848159945176e-05
2	WP5104	3.762643485696196e-05
2	WP5120	3.5903841703245105e-05
2	WP4299	2.1005541682108574e-05
2	WP5171	1.9792449445366604e-05
2	WP5202	1.9734028495497047e-05
2	WP4686	1.2883934187982546e-05
2	WP5223	1.070574395600105e-05
2	WP5037	9.46916288331449e-06
2	WP4153	8.462260803761123e-06
2	WP4504	7.988131562169537e-06
2	WP4224	7.78605785377279e-06
2	WP5166	6.073636762220892e-06
2	WP4236	6.060508637834388e-06
2	WP5169	5.920005286070152e-06
2	WP4297	5.849822466932184e-06
2	WP4518	5.342519112807398e-06
2	WP4271	3.749266676558533e-06
2	WP4792	3.6202511192937063e-06
2	WP4225	3.3061665033090242e-06
2	WP4521	3.1661089735901036e-06
2	WP5193	3.0045939139923112e-06
2	WP4940	2.7317869393332473e-06
2	WP4519	2.250329188013694e-06
2	WP4292	1.8774880971578075e-06
2	WP5031	1.6645664002799065e-06
2	WP5175	1.5060346748150454e-06
2	WP4157	1.2437893388971495e-06
2	WP4804	1.1160899465975664e-06
2	WP5190	7.766845520698016e-07
2	WP4507	5.48253955591322e-07
2	WP5030	2.576559354750515e-07
2	WP4228	2.496826307976412e-07
2	WP5189	2.3746414464963992e-07
2	WP4156	1.775550052063369e-07
2	WP5195	1.6033563614987964e-07
