multiplex	node	score
1	MIA	0.000642684301569884
1	CDX1	0.0006422838385476086
1	HOXD10	0.0006422458843932743
1	DBX1	0.0006421670581680348
1	DEFA1	0.0006419577483141057
1	MUC2	0.0006419303147054438
1	HOXD13	0.0006264044876894423
1	SMYD5	0.0006262705401710053
1	PLP1	0.0006180074483504643
1	MYCN	0.0006151195393369715
1	ASMT	0.0006132511782359982
1	MPO	0.0006113944303096374
1	AL807752.7	0.000610938960406745
1	TLX2	0.0006090776950437256
1	MAP7	0.0006084195806606811
1	LGALS7	0.0006077194069800099
1	RTN1	0.0006076073260315184
1	CD164	0.0006073654390381895
1	HOXA5	0.0006073500458409483
1	CD82	0.0006068411379937876
1	EVX2	0.0006064107238177906
1	ZFP42	0.0006061960172450758
1	LAPTM5	0.0006057135775432979
1	STRA8	0.0006051786625507663
1	RAI2	0.0006051556023055433
1	WT1	0.0006048975128975958
1	ERRFI1	0.0006048921880368826
1	OTX2	0.0006041115687347541
1	POU1F1	0.0006039714110960411
1	HOXC5	0.0006038522971611857
1	SLA	0.0006034686413995615
1	CTNNB1	0.0006017480101857379
1	TRMT2A	0.0006005764381017584
1	EMP1	0.0005994440653791961
1	EGFR	0.0005991412857243234
1	HOXB4	0.0005986302351376542
1	DIO1	0.0005983023820077309
1	CYP24A1	0.0005981909973720687
1	IKZF1	0.0005980801157896936
1	CAMKK1	0.0005950118015322671
1	FOLR2	0.0005947412352218669
1	STS	0.0005946305484973898
1	MZF1	0.0005945269253523645
1	NKX3-2	0.0005941589175595457
1	OLR1	0.0005941281981516315
1	HOXA1	0.0005878888657267111
1	DHRS3	0.0005868684152108445
1	CYP7A1	0.0005862954572658838
1	LPA	0.0005856618860859541
1	RNPEP	0.0005853285349437862
1	FOXA2	0.0005852837674183574
1	CD38	0.0005851673389706599
1	FOXA1	0.0005849995814973428
1	GRASP	0.000584970450091964
1	MT3	0.0005846185528761924
1	NR6A1	0.0005833050758590482
1	IHH	0.0005826146205514086
1	RBP2	0.000581910195410883
1	MSX2	0.0005813260060507588
1	FGF9	0.0005808431904076904
1	FGF4	0.000580842961511072
1	CALB1	0.0005803991285005594
1	NRDC	0.000580298486874436
1	CDH3	0.0005799826704565126
1	CDH6	0.0005799826704565126
1	NRGN	0.0005797703128556404
1	MEOX1	0.000579661234309421
1	MSX1	0.0005796307476313742
1	CHGA	0.0005793143912687253
1	SAT1	0.0005786025331408764
1	MMP13	0.000578482410512907
1	VCAM1	0.0005779073379755186
1	MME	0.000577543660265791
1	IRF1	0.0005773573871540169
1	GDF5	0.0005772614199113301
1	PCP2	0.0005772058122325235
1	HNF1A	0.0005758369624456719
1	ITGAV	0.000575717128490439
1	IGF2	0.0005751569511694006
1	ABCC2	0.0005751166514821223
1	NDRG1	0.0005751045648681893
1	BHLHE40	0.0005750335489759484
1	SNAI2	0.0005748701561672201
1	CCL2	0.0005746716391442964
1	FUT4	0.0005745784081883104
1	HCK	0.0005733688447991848
1	ITGAL	0.0005733630267691129
1	SPRR1B	0.0005727319645810554
1	DCT	0.000572729326880203
1	CR1	0.000572645479666681
1	MUC17	0.000572277904451807
1	MUC4	0.000572277904451807
1	CSN3	0.0005719443951863754
1	ADAMTS5	0.0005718703367340073
1	AANAT	0.000571806425502499
1	HNF1B	0.0005716874811565884
1	LEFTY1	0.0005716749951790172
1	ASCL1	0.0005713397843388581
1	HOXD4	0.0005712173616481033
1	FOSL1	0.0005710268119515636
1	IGF1	0.0005709329247147564
1	KRT4	0.0005704700361894803
1	MST1	0.0005703693933911214
1	UCP1	0.000570263477552044
1	MBP	0.0005701517047254401
1	CHAT	0.0005701446045567046
