node	seed
AANAT	TRUE
ABCB1	TRUE
ABCC2	TRUE
ABL1	TRUE
ACADM	TRUE
ACSL1	TRUE
ACTA1	TRUE
ACTA2	TRUE
ADAMTS4	TRUE
ADAMTS5	TRUE
ADCYAP1	TRUE
ADCYAP1R1	TRUE
ADH1A	TRUE
ADH1C	TRUE
ADRB1	TRUE
AFP	TRUE
AGTR1	TRUE
AHR	TRUE
AKAP12	TRUE
AKR1C3	TRUE
AL807752.7	TRUE
ALDH1A1	TRUE
ALPI	TRUE
ALPL	TRUE
AMBP	TRUE
APOA1	TRUE
APOA2	TRUE
APOC3	TRUE
APOD	TRUE
APP	TRUE
AR	TRUE
ARHGAP5	TRUE
ARNT	TRUE
ASCL1	TRUE
ASMT	TRUE
ATP1A3	TRUE
B3GNT5	TRUE
BCL2	TRUE
BEX2	TRUE
BGLAP	TRUE
BHLHE40	TRUE
BIRC3	TRUE
BIRC5	TRUE
BMP2	TRUE
BMP4	TRUE
BMP7	TRUE
BST1	TRUE
BTK	TRUE
CA2	TRUE
CALB1	TRUE
CALCA	TRUE
CAMK2A	TRUE
CAMK2D	TRUE
CAMKK1	TRUE
CASP1	TRUE
CASP3	TRUE
CCL2	TRUE
CCND3	TRUE
CCNE1	TRUE
CD164	TRUE
CD38	TRUE
CD44	TRUE
CD58	TRUE
CD59	TRUE
CD82	TRUE
CDH1	TRUE
CDH2	TRUE
CDH3	TRUE
CDH6	TRUE
CDK1	TRUE
CDKN1A	TRUE
CDKN2B	TRUE
CDX1	TRUE
CEBPE	TRUE
CENPX	TRUE
CETP	TRUE
CFH	TRUE
CHAT	TRUE
CHGA	TRUE
CHGB	TRUE
CLTA	TRUE
CNTFR	TRUE
CNTN1	TRUE
COL1A1	TRUE
COL1A2	TRUE
COL3A1	TRUE
COL4A1	TRUE
COL4A2	TRUE
COL7A1	TRUE
CP	TRUE
CR1	TRUE
CRABP1	TRUE
CRABP2	TRUE
CRH	TRUE
CRYAB	TRUE
CSF1	TRUE
CSF1R	TRUE
CSH1	TRUE
CSN3	TRUE
CTNNB1	TRUE
CTSB	TRUE
CTSD	TRUE
CTSG	TRUE
