multiplex	node	score
1	RDH5	0.002255265635900683
1	ALDH1A1	0.002129139522518703
1	ALDH1A2	0.002105663156273126
1	RBP4	0.0020722039034145713
1	RDH8	0.0014018043409146363
1	DHRS3	0.0013743365021956198
1	RLBP1	0.0013663888648676311
1	RDH14	0.001361833557333049
1	DHRS4	0.0013379258434069313
1	RDH13	0.0013087488675575206
1	ALDH1A3	0.0013037372708306061
1	RBP3	0.001279350691179163
1	APOD	0.001269409866010956
1	RDH11	0.0012634540864463002
1	LRAT	0.0012503656624165856
1	PTGDS	0.0012209908484528181
1	RETSAT	0.0012035429442914941
1	RDH12	0.001194934475451481
1	RBP1	0.001191572683759007
1	OBP2A	0.0010320900676762696
1	RARB	0.001023635797052029
1	RXRG	0.0010232081442417523
1	RARG	0.0010192033014179576
1	RXRA	0.0010056670316423192
1	CYP26C1	0.0010056073771895348
1	RARA	0.0010009934107767105
1	ADORA3	0.0009946473380031205
1	CRABP1	0.0009867390981154658
1	CYP26B1	0.0009804845869579063
1	RORB	0.0009772208475882518
1	RXRB	0.0009609871511626717
1	HTR2B	0.0009527102234516109
1	NR2C2	0.0009386957544080549
1	RORC	0.0009350674696888273
1	LCN1	0.000933207984940644
1	NR0B1	0.0009228063243743496
1	HPGDS	0.0009010249252075964
1	RORA	0.0008933230550070764
1	PPARD	0.0008792971175944778
1	PDK4	0.0008633365835538016
1	MAPK1	0.0008516797926628611
1	TTR	8.324051518225174e-05
1	COL2A1	6.784835115478443e-05
1	PLG	6.500610085995456e-05
1	ALDH2	6.137228012183799e-05
1	PPARG	6.122667124821027e-05
1	TNFSF11	5.249846913034026e-05
1	CYP17A1	5.1061341346672124e-05
1	CFTR	5.072130454835578e-05
1	ESR1	4.551553945008968e-05
1	DHRS9	4.1065863567340406e-05
1	ADH4	4.006426178118461e-05
1	ABCB11	3.912621448483183e-05
1	MED1	3.373240889436675e-05
1	FCGR1A	3.3280359889504584e-05
1	ESR2	3.314352681658517e-05
1	CREBBP	3.125635948927206e-05
1	GJA1	3.064922390617262e-05
1	GGCX	2.904392632347272e-05
1	ABCA4	2.90341889497845e-05
1	PLA2G7	2.8814591835808577e-05
1	BGLAP	2.868820214945821e-05
1	CNR1	2.7790590544688373e-05
1	IGFBP3	2.7759635271043655e-05
1	PNLIP	2.7705216124524442e-05
1	QPCT	2.7611238116642232e-05
1	LIPF	2.7427838691138166e-05
1	ABHD16A	2.7384387982523154e-05
1	AR	2.7025100889238593e-05
1	ABHD6	2.6741235312383555e-05
1	DAGLB	2.6590034189691058e-05
1	LDLR	2.6576376531912252e-05
1	KDSR	2.655753579235307e-05
1	OBP2B	2.646555155593439e-05
1	ADRA2B	2.6178364475528947e-05
1	FASN	2.555664675475924e-05
1	SHH	2.5473964078213506e-05
1	RPE65	2.535582536360996e-05
1	DAGLA	2.4891894176992893e-05
1	IFNG	2.4183641506485047e-05
1	MAPK14	2.390812699307309e-05
1	NR3C1	2.345234292997301e-05
1	SLC22A1	2.3238462078657503e-05
1	PTGS2	2.3156492701101187e-05
1	HSD17B6	2.228256787876412e-05
1	BRCA1	2.1705325190582984e-05
1	TYMS	2.113242142368132e-05
1	NR1I2	2.0218343904181163e-05
1	SNCA	2.0158480349491746e-05
1	PLAT	1.9116955225851432e-05
1	DHFR	1.8532406650423392e-05
1	PGR	1.807171002325855e-05
1	LPA	1.8050438033567123e-05
1	CYP3A4	1.75790061594863e-05
1	PTGS1	1.7397266070079614e-05
1	SHBG	1.6881010102281933e-05
1	BMP4	1.6876263937893347e-05
1	GH1	1.685136554944217e-05
1	EP300	1.669948794515453e-05
1	ALOX5	1.6611809838723175e-05
1	MAOA	1.6089957092862213e-05
1	ABCB1	1.600868279864855e-05
1	UGT1A1	1.546127890684926e-05
1	RHO	1.5394791615733226e-05
1	COL1A1	1.5231740246728791e-05
1	NAA30	1.488774005604163e-05
1	STAT3	1.4707847901529167e-05
1	AHR	1.4541884200911368e-05
1	MTOR	1.447442508341195e-05
1	PAX6	1.4264462004294863e-05
1	SLC9A3R1	1.3934984151237798e-05
1	STRA6	1.3890317172492898e-05
1	RDH10	1.3481677520022084e-05
1	IL5	1.3474770788934703e-05
1	HNF4A	1.3440757803177814e-05
1	SLC6A4	1.3305584160834833e-05
1	SLC6A3	1.3165745038027906e-05
1	POMC	1.3051384219962313e-05
1	TBXAS1	1.3026589923160702e-05
1	PDE4C	1.3014391626990744e-05
1	INS	1.2964365444179078e-05
1	LACRT	1.2866760711998676e-05
1	PDE4B	1.2795230791690762e-05
1	IL2	1.272508903794515e-05
1	PDE4A	1.2658716981825844e-05
1	PSKH1	1.2567125470879216e-05
1	ALDH8A1	1.2557672781421353e-05
1	PDHA1	1.2436919872151182e-05
1	FKBP1A	1.2430305092531553e-05
1	PDE4D	1.2417019486890639e-05
1	FGFR3	1.2352043534019473e-05
1	BRAF	1.2286192699261286e-05
1	PAX3	1.2254739427566887e-05
1	VDR	1.2242396325843757e-05
1	EGFR	1.2138003357055608e-05
1	TRPV4	1.2136626514040331e-05
1	GPC4	1.1992895711407861e-05
1	KCNH2	1.1974205670668343e-05
1	RAF1	1.1854951873316088e-05
1	PPP3CC	1.1837539057726447e-05
1	SOD2	1.1579193114948629e-05
1	GPC3	1.1363653942695572e-05
1	HOXA1	1.1082526895877738e-05
1	TP53	1.0970627353338368e-05
1	SLC6A2	1.0928701050410633e-05
1	MFRP	1.0927744126425828e-05
1	HSPG2	1.0918222911821976e-05
1	ELN	1.0911328811229185e-05
1	PECR	1.0870650947303514e-05
1	PPARGC1A	1.0863498710118345e-05
1	NKX2-1	1.0840702054504939e-05
1	GBA	1.0767763767332657e-05
1	NRIP1	1.0521259951678504e-05
1	RDH16	1.0495742949742346e-05
1	PPARA	1.0329666623536767e-05
1	ACE	1.0174627253058918e-05
1	SDR16C5	9.97566484305124e-06
1	CRABP2	9.86693138144139e-06
1	OPRM1	9.848702347489537e-06
1	NCOA1	9.805167586844308e-06
1	CYP1A2	9.74057164709475e-06
