A2ML1	OMIM:166760
A4GALT	OMIM:111400
AAAS	OMIM:231550
AAGAB	OMIM:148600
AARS1	OMIM:613287
AARS1	OMIM:616339
AARS1	OMIM:619661
AARS1	OMIM:619691
AARS2	OMIM:614096
AARS2	OMIM:615889
AASS	OMIM:238700
ABAT	OMIM:613163
ABCA12	OMIM:242500
ABCA12	OMIM:601277
ABCA1	OMIM:205400
ABCA1	OMIM:604091
ABCA2	OMIM:618808
ABCA3	OMIM:610921
ABCA4	OMIM:153800
ABCA4	OMIM:248200
ABCA4	OMIM:601718
ABCA4	OMIM:604116
ABCA5	OMIM:135400
ABCA7	OMIM:608907
ABCB11	OMIM:601847
ABCB11	OMIM:605479
ABCB1	OMIM:612244
ABCB4	OMIM:600803
ABCB4	OMIM:602347
ABCB4	OMIM:614972
ABCB6	OMIM:609153
ABCB6	OMIM:614497
ABCB6	OMIM:615402
ABCB7	OMIM:301310
ABCC1	OMIM:618915
ABCC2	OMIM:237500
ABCC6	OMIM:177850
ABCC6	OMIM:264800
ABCC6	OMIM:614473
ABCC8	OMIM:125853
ABCC8	OMIM:240800
ABCC8	OMIM:256450
ABCC8	OMIM:610374
ABCC8	OMIM:618857
ABCC9	OMIM:239850
ABCC9	OMIM:608569
ABCC9	OMIM:614050
ABCC9	OMIM:619719
ABCD1	OMIM:300100
ABCD3	OMIM:616278
ABCD4	OMIM:614857
ABCG5	OMIM:618666
ABCG8	OMIM:210250
ABCG8	OMIM:611465
ABHD12	OMIM:612674
ABHD5	OMIM:275630
ABL1	OMIM:608232
ABL1	OMIM:617602
ACACA	OMIM:613933
ACAD8	OMIM:611283
ACAD9	OMIM:611126
ACADM	OMIM:201450
ACADSB	OMIM:610006
ACADS	OMIM:201470
ACADVL	OMIM:201475
ACAN	OMIM:165800
ACAN	OMIM:608361
ACAN	OMIM:612813
ACAT1	OMIM:203750
ACAT2	OMIM:614055
ACBD5	OMIM:618863
ACD	OMIM:616553
ACE	OMIM:267430
ACER3	OMIM:617762
ACKR3	OMIM:619215
ACO2	OMIM:614559
ACO2	OMIM:616289
ACOX1	OMIM:264470
ACOX1	OMIM:618960
ACOX2	OMIM:617308
ACP2	OMIM:200950
ACP4	OMIM:617297
ACP5	OMIM:607944
ACSF3	OMIM:614265
ACSL4	OMIM:300387
ACTA1	OMIM:161800
ACTA1	OMIM:255310
ACTA1	OMIM:616852
ACTA2	OMIM:611788
ACTA2	OMIM:613834
ACTA2	OMIM:614042
ACTB	OMIM:243310
ACTB	OMIM:607371
ACTC1	OMIM:612098
ACTC1	OMIM:612794
ACTC1	OMIM:613424
ACTG1	OMIM:604717
ACTG1	OMIM:614583
ACTG2	OMIM:155310
ACTG2	OMIM:619431
ACTL6B	OMIM:618468
ACTL6B	OMIM:618470
ACTL9	OMIM:619258
ACTN1	OMIM:615193
ACTN2	OMIM:612158
ACTN2	OMIM:618654
ACTN2	OMIM:618655
ACTN4	OMIM:603278
ACVR1	OMIM:135100
ACVR2B	OMIM:613751
ACVRL1	OMIM:600376
ACY1	OMIM:609924
ADA2	OMIM:182410
ADA2	OMIM:615688
ADAM10	OMIM:615537
ADAM17	OMIM:614328
ADAM22	OMIM:617933
ADAM9	OMIM:612775
ADAMTS10	OMIM:277600
ADAMTS13	OMIM:274150
ADAMTS17	OMIM:613195
ADAMTS18	OMIM:615458
ADAMTS2	OMIM:225410
ADAMTS3	OMIM:618154
ADAMTSL2	OMIM:231050
ADAMTSL4	OMIM:225100
ADAMTSL4	OMIM:225200
ADA	OMIM:102700
ADARB1	OMIM:618862
ADAR	OMIM:127400
ADAR	OMIM:615010
ADAT3	OMIM:615286
ADCY10	OMIM:143870
ADCY1	OMIM:610154
ADCY3	OMIM:617885
ADCY5	OMIM:606703
ADCY5	OMIM:619647
ADCY5	OMIM:619651
ADCY6	OMIM:616287
ADD1	OMIM:145500
ADD3	OMIM:617008
ADGRE2	OMIM:125630
ADGRG1	OMIM:606854
ADGRG1	OMIM:615752
ADGRG2	OMIM:300985
ADGRG6	OMIM:616503
ADGRV1	OMIM:604352
ADGRV1	OMIM:605472
ADH1B	OMIM:103780
ADH1C	OMIM:103780
ADH1C	OMIM:168600
ADH5	OMIM:619151
