EPS15L1	TBC1D13
CELA2B	RPUSD2
CELA2B	MRM2
SENP1	UBE2I
SENP1	SUMO2
SENP1	SENP2
AMY1B	ZG16B
AMY1B	MUC7
AMY1B	CST4
AMY1A	ZG16B
AMY1A	MUC7
AMY1A	CST4
AMY1C	ZG16B
AMY1C	MUC7
AMY1C	CST4
BTN3A2	BTN3A3
BTN3A1	BTN3A3
BTN3A1	BTN3A2
GFM2	RARS2
MFAP4	PSAT1
ARMH3	PTGR2
ARMH3	FASN
LONP2	RSPH9
GGPS1	TUSC1
KIF20A	STK26
KIF20A	STK25
KIF20A	STK24
KIF20A	PDCD10
AHCYL1	AHCYL2
SHROOM1	SPRYD7
NYX	SPRYD7
NYX	SHROOM1
GPSM1	SAPCD2
B2M	NRSN2
B2M	FCGRT
B2M	CD1B
HMGB3	PATL1
LRSAM1	SHARPIN
LRSAM1	RNF31
LIPF	SHARPIN
LIPF	RNF31
LIPF	LRSAM1
PCID2	UPB1
ADPRS	UPB1
ADPRS	PCID2
HLA-B	SGSM3
NUCB1	PRXL2B
SLC6A8	USP3
RHOG	USP3
RHOG	SLC6A8
NT5E	USP3
NT5E	SLC6A8
NT5E	RHOG
CIPC	CLOCK
SCARA3	SDCCAG8
COLEC12	SDCCAG8
COLEC12	SCARA3
SCP2	TPI1
SCP2	SRI
SPACA1	VPS13B
KIAA1586	VPS13B
KIAA1586	SPACA1
PEBP1	PGK1
FMC1	TRMT2B
FMC1	PDSS2
FMC1	OXLD1
FMC1	MTG2
FMC1	MOCS1
PPIP5K2	TJP2
ATG3	TRIP10
ZNF202	ZSCAN20
ZNF202	ZNF449
ZNF202	ZNF215
PPP1R21	TBCK
GATD1	TBCK
GATD1	PPP1R21
CRYZL1	TBCK
CRYZL1	PPP1R21
CRYZL1	GATD1
C12orf4	TBCK
C12orf4	PPP1R21
C12orf4	GATD1
C12orf4	CRYZL1
CUEDC2	GTF2A2
MAGI3	TCL1B
PARP11	RNF166
KIF1A	RNF166
KIF1A	PARP11
FAM241A	TFAM
FAM241A	SH3PXD2A
FAM241A	RTN4
FAM241A	RTN2
FAM241A	RABAC1
