MMP11	PRPF40A
ASB16-AS1	SHBG
KIAA0513	INTS4
KIAA0513	HAX1
RAVER2	PTBP1
CNGB1	PNN
CLDN3	POM121
CFD	HDHD2
DENND10P1	TMEM256
HOXA13	MEIS3
HOXA13	MEIS2
SLC12A1	STK39
SLC12A1	OXSR1
GLDC	TLR10
MFAP5	FBLN1
MFAP5	MEGF6
MFAP5	FBN2
IFI6	CIB1
DAZ4	BOLL
DAZ4	DZIP1
DAZ4	QKI
DAZ4	DAZL
GGNBP2	GGN
ELSPBP1	NEDD9
METTL2B	PSEN1
METTL2B	PSEN2
CPXM2	SMAD9
DUX5	DES
DUX5	CENPE
DUX5	CSNK2B
DUX5	ACTN3
DUX5	ACTN2
CC2D2A	NINL
CC2D2A	CEP290
SLC5A7	SEC14L1
RASL10A	HOMEZ
POLR2J2	ATPAF2
POLR2J2	POLR1C
SLC13A1	NHERF2
SLC13A1	TSPAN3
SLC13A1	CRYAB
SLC13A1	NDUFS5
SLC13A1	GRN
SLC13A1	DYNLL1
SLC13A1	COQ5
SLC13A1	PNPLA6
SLC13A1	APLP2
SLC13A1	TM4SF1
SLC13A1	ARL6IP1
SLC13A1	TBRG1
SLC13A1	PRSS8
SLC13A1	ASS1
SLC13A1	TMED10
SLC13A1	SELPLG
SLC13A1	TP53I11
SLC13A1	RHOA
SLC13A1	NHERF1
SLC13A1	SEC61A1
SLC13A1	HSPA1A
SLC13A1	ACOT2
SLC13A1	MKRN1
SLC13A1	ACTR10
SLC13A1	PDZK1
SLC13A1	SDHD
SLC13A1	COQ9
SLC13A1	SERPINA1
SLC13A1	CD59
SLC13A1	OGDHL
SLC13A1	FTL
SHROOM1	MCAM
SYT12	DNAJC5
SYCP2	SYCP3
SYCP2	HORMAD2
TSPY1	TSPYL5
TAMALIN	GABBR2
TAMALIN	GRM2
TAMALIN	GRM3
PTP4A3	ITGA1
TIMD4	FN1
DHX33	DYNLT1
HIF3A	ARNT
OSBPL7	GABARAPL2
CPEB2	C2CD2L
CPEB2	TUBA1A
CPEB2	SORBS3
CPEB2	CAPN15
CPEB2	SEMA4B
CPEB2	BSCL2
CPEB2	SPARC
CPEB2	PSAP
CPEB2	ERI3
CPEB2	PUF60
CPEB2	PIGS
CPEB2	OTUB1
CPEB2	NECAB2
CPEB2	ATP1B2
CPEB2	KEAP1
CPEB2	GAA
CPEB2	GABBR1
CPEB2	EEF2
CPEB2	COPS7A
CPEB2	MT-ATP6
CPEB2	ATG2A
CENPM	H3C12
CENPM	CENPS
FBXL17	CSNK2B
FBXL17	UAP1
FBXL17	RLF
FBXL17	TMEM126A
FBXL17	COG2
FBXL17	CLPX
FBXL17	HADH
FBXL17	CFAP58
FBXL17	MED14
FBXL17	SRBD1
FBXL17	IFT46
FBXL17	TMOD1
FBXL17	PCCB
FBXL17	CCSER1
FBXL17	USP25
FBXL17	OLR1
FBXL17	TPP2
FBXL17	PXYLP1
FBXL17	FILIP1L
FBXL17	SCPEP1
FBXL17	TGFBI
FBXL17	ZNF350
FBXL17	PPP3CB
FBXL17	PSME4
FBXL17	IDO1
FBXL17	ZMYM2
FBXL17	PHF7
FBXL17	KLHL7
FBXL17	TASP1
FBXL17	SCG5
FBXL17	AK9
FBXL17	METAP2
FBXL17	ETFA
FBXL17	ACSBG2
FBXL17	C21orf91
FBXL17	UFC1
NRP2	PLXNB1
NRP2	PLXNA1
NRP2	L1CAM
NRP2	VEGFA
EPHA5	DUSP21
LGR5	ZNRF3
PPP1R3A	PPP1CC
PPP1R3A	PPP1CB
CASP12	MAGEA3
BHLHE41	RORA
BHLHE41	PPP2CB
BHLHE41	RASD1
BHLHE41	PPP2R1B
BHLHE41	PER2
BHLHE41	WDR5
BHLHE41	RORC
BHLHE41	PPP2R5E
BHLHE41	NONO
BHLHE41	GSK3B
BHLHE41	FBXW11
DELEC1	NR1D2
DELEC1	NFIL3
DELEC1	PPP2CA
DELEC1	NONO
DELEC1	RORC
DELEC1	PPP2R5E
DELEC1	PPP2R5D
DELEC1	PPP2R1B
DELEC1	PPP2R1A
DELEC1	PPP1CC
DELEC1	PPP1CB
DELEC1	PPP1CA
DELEC1	PER2
DELEC1	PER1
DELEC1	NPAS2
DELEC1	GSK3B
DELEC1	FBXL15
DELEC1	EZH2
DELEC1	BHLHE41
TMPRSS12	BRCA1
GLIPR2	KRTAP10-3
ARSJ	ZMIZ2
GAGE4	GMCL1
GAGE4	MEOX2
CDH9	MEOX2
IQCJ-SCHIP1	SYCE1L
IQCJ-SCHIP1	PRPF18
IQCJ-SCHIP1	SCOC
GTSE1	MAPRE2
GTSE1	MAPRE3
GTSE1	MAPRE1
GTSE1	AKAP9
CEP120	STAT3
ITPKC	PPP3CC
KIAA1522	SFRP1
KIAA1522	NCK1
ABCA5	NR4A1
ABCA5	CYP2E1
CFHR1	PRDX4
CYP27A1	PRDX4
ALDH6A1	LMO2
GYS2	TNFRSF1A
HPX	TP63
ACSL1	NR3C2
BST1	LBP
HADH	STAT1
ADH1A	HADH
ADH1A	CSNK2A2
ABCC6	CRYL1
ABCC6	FURIN
ABCC6	NR4A1
ABCC6	AK2
ARSF	EP300
AGPAT2	PHRF1
AGPAT2	ANKRD28
AGPAT2	GMPS
AGPAT2	SLC23A2
AGPAT2	PHF11
AGXT2	CYP2E1
AGXT2	ALDOB
ALG12	RPL13A
ALG12	PRDX4
FCAMR	TP53
AQP11	STAT5A
ILRUN	RPSA
CD320	PRDX2
SLC25A47	C1QA
SLC25A47	DIABLO
GSDMB	PEBP1
GSDMB	IGFBP2
GSDMB	SERPINA1
GSDMB	ORM1
GSDMB	HIVEP1
C22orf46P	KRT40
IGSF5	LNX2
IGSF5	LNX1
PAN2	RNF144B
PAN2	TRIM35
PAN2	RBCK1
MARCHF1	HLA-DRA
MARCHF1	HLA-DRB1
ANKH	RPSA
TRAPPC3L	TRAPPC1
TRAPPC3L	TRAPPC6B
TRAPPC3L	TRAPPC6A
TRAPPC3L	TRAPPC5
TRAPPC3L	TRAPPC12
TRAPPC3L	TRAPPC11
TRAPPC3L	TRAPPC10
TRAPPC3L	TRAPPC9
TRAPPC3L	TRAPPC8
TRAPPC3L	TRAPPC4
MRGPRX1	GNG2
MRGPRX1	GNB1
MRGPRX1	GNAI2
MRGPRX1	GNAQ
PDZRN3	SLC5A8
GAREM2	ECPAS
SSPOP	ATXN7L1
SSPOP	TTC28
USP36	TRIM26
USP36	SOD2
CRB2	H4C16
CPA4	LXN
ZNF519	SP8
INSM2	ZSCAN1
TBX20	ZSCAN1
ZNF70	ZFP64
POLR2B	ZSCAN1
POLR2B	IKBKG
POLR2B	LZTR1
