GeneSymbol	ActiveModule	ActiveGene	overlapSignificant
SERPINA5	1	False	False
RIDA	1	True	False
CDK2	1	True	False
ORC2	1	False	False
GCKR	1	False	False
CDKN1A	1	True	False
MCM4	1	True	False
DBF4	1	False	False
IRF8	1	False	False
IRF1	1	True	False
MCM5	1	False	False
ORC1	1	True	False
MRE11	1	False	False
CDKN2A	1	True	False
CDC7	1	True	False
MTRFR	1	False	False
INTS6	1	False	False
MCM7	1	True	False
RPA1	1	False	False
MCM2	1	False	False
CDC45	1	True	False
CCNE2	1	True	False
CDKN1B	1	True	False
CCNB1	1	True	False
CDKN3	1	True	False
CDK3	1	False	False
CDC6	1	True	False
MCM10	1	True	False
KLHDC9	1	False	False
CCNA1	1	True	False
B3GALNT1	1	False	False
ZBTB17	1	False	False
FOXO1	1	True	False
DEAF1	1	False	False
PHLDA3	1	False	False
HPD	1	False	False
ORC3	1	False	False
MCM3	1	True	False
MCM6	1	True	False
CCNB2	1	True	False
ORC4	1	False	False
ORC5	1	True	False
PFKFB1	1	False	False
PFKFB3	1	True	False
ESCO2	1	False	False
CDKN1C	1	True	False
MCMBP	1	False	False
GMNN	1	False	False
CDT1	1	True	False
ZBTB8B	1	False	False
RRM2B	1	False	False
GCK	1	False	False
CCNA2	1	True	False
ORC6	1	False	False
EGLN3	2	False	True
EPAS1	2	True	True
TRIB1	2	True	True
COP1	2	False	True
MAFB	2	True	True
BACH1	2	False	True
ZNF595	2	False	True
JUNB	2	True	True
ETV4	2	False	True
NFE2L2	2	True	True
ZDHHC2	2	False	True
TEF	2	False	True
MYB	2	True	True
MAF	2	True	True
DBP	2	False	True
ATF3	2	True	True
ATF2	2	False	True
NFE2L3	2	True	True
ATF4	2	False	True
OVOL1	2	False	True
MAFF	2	True	True
EGR1	2	True	True
NAB1	2	False	True
FOS	2	True	True
USF1	2	False	True
GTF2A1L	2	False	True
EIF2AK3	2	False	True
ATF7	2	False	True
FOSL2	2	True	True
SOX9	2	True	True
MAZ	2	True	True
JUN	2	True	True
GABBR2	2	True	True
DDIT3	2	True	True
SLC4A8	2	False	True
TXNDC2	2	False	True
BATF	2	False	True
CEBPE	2	True	True
CENPO	2	False	True
AKAP5	2	False	True
MLLT6	2	False	True
CEBPG	2	True	True
NFATC2	2	False	True
ZSWIM9	2	False	True
TPH1	2	False	True
ZMYM6	2	True	True
FOSL1	2	False	True
BACH2	2	False	True
BATF3	2	False	True
POLR2M	2	False	True
BATF2	2	True	True
SPIC	2	False	True
AMY2B	2	False	True
ZBTB24	2	False	True
CEBPB	2	True	True
SIX6	2	True	True
CFAP299	2	False	True
FOSB	2	False	True
SRA1	2	False	True
CREBZF	2	False	True
MAFG	2	False	True
NFE2L1	2	False	True
TEDC1	2	False	True
RUNX2	2	True	True
CEBPD	2	True	True
CEBPA	2	True	True
JDP2	2	False	True
HLF	2	False	True
NPIPA1	2	True	True
JUND	2	True	True
ZMYND11	2	False	True
ATF5	2	False	True
ELF1	2	True	True
MAFK	2	False	True
ETS2	2	False	True
NFIL3	2	False	True
NFE2	2	False	True
GADD45B	3	False	True
MAP2K6	3	True	True
TRIM6	3	False	True
MYC	3	True	True
AKT1	3	True	True
PLD3	3	True	True
STK11	3	False	True
ARNT	3	False	True
CBLC	3	False	True
CCND2	3	True	True
UGT2B10	3	False	True
MAPK14	3	True	True
TMEM63B	3	False	True
KAT2A	3	False	True
CD44	3	True	True
CDK4	3	True	True
ATG14	3	False	True
BECN1	3	True	True
DUSP9	3	False	True
GMNC	3	False	True
CCNE1	3	True	True
HGF	3	True	True
EPHA2	3	False	True
GLIS1	3	False	True
ZDHHC23	3	True	True
CDK6	3	False	True
CCNI	3	False	True
SOX4	3	True	True
DACH1	3	True	True
PDGFC	3	False	True
PDGFRA	3	True	True
NF2	3	False	True
RASSF1	3	False	True
CDKN2B	3	True	True
MAP3K4	3	False	True
TERT	3	True	True
PDGFRB	3	False	True
TAOK2	3	False	True
PTEN	3	True	True
CDKN2C	3	True	True
DDX51	3	True	True
NSD3	3	False	True
PIK3C3	3	False	True
LATS2	3	False	True
SELENOW	3	True	True
TSC1	3	False	True
MAP3K5	3	True	True
GLIS2	3	False	True
TTYH2	3	False	True
KDELR2	3	False	True
MAP2K3	3	False	True
ABCB5	3	False	True
MDM4	3	False	True
NF1	3	True	True
RAF1	3	False	True
PIK3R4	3	False	True
TNFRSF1A	3	True	True
SOX3	3	True	True
PDGFA	3	False	True
FZR1	3	False	True
MAP2K5	3	False	True
NFIC	3	False	True
TEAD2	3	False	True
UVRAG	3	False	True
FGFR4	3	False	True
TRIM40	3	False	True
RUNX1	3	True	True
HIF1A	3	True	True
ARAF	3	False	True
GRM1	3	False	True
PI4K2B	3	False	True
LDHC	4	False	False
RBL2	4	True	False
MGA	4	True	False
E2F4	4	False	False
TFDP2	4	True	False
E2F6	4	False	False
ZNF70	4	False	False
ZFP64	4	True	False
PKIB	4	False	False
E2F1	4	True	False
CDK7	4	False	False
ATF6B	4	False	False
NFYA	4	True	False
RBL1	4	False	False
SPIB	4	False	False
DDC	4	True	False
ATF6	4	True	False
ZNF622	4	False	False
MYBL2	4	True	False
XBP1	4	True	False
NNMT	4	False	False
E2F2	4	True	False
E2F3	4	False	False
RRP1B	4	True	False
PWP1	4	False	False
FHL2	4	False	False
NIBAN1	4	True	False
ZBTB9	4	False	False
STOML1	4	False	False
CWC27	4	False	False
HDGF	4	False	False
TFDP1	4	True	False
E2F5	4	True	False
PROX1	5	False	False
TAF9	5	False	False
NR1H3	5	True	False
RXRG	5	True	False
NCOR2	5	False	False
TXNRD2	5	False	False
IQCK	5	True	False
EIF5B	5	False	False
ESR2	5	False	False
NRBF2	5	False	False
TMPRSS3	5	False	False
BRD8	5	False	False
RARG	5	True	False
NR1H4	5	True	False
NR1H2	5	False	False
PPARA	5	True	False
PGR	5	False	False
KAT2B	5	True	False
SRF	5	False	False
CEBPZ	5	True	False
NCOA2	5	True	False
NR2F1	5	True	False
NCOA3	5	True	False
ING3	5	False	False
THRB	5	True	False
FOXO3	5	False	False
MAP4	5	False	False
KLF9	5	True	False
TMEM161A	5	False	False
FABP1	5	False	False
RXRA	5	True	False
TNP1	5	False	False
BID	6	True	True
BCL2	6	True	True
STEAP3	6	True	True
BNIP3L	6	True	True
