source	target	link	AMI_number
IRF1	CDKN1B	interacts with	1
IRF1	IRF8	interacts with	1
CDC7	MCM5	interacts with	1
CDC7	ORC1	interacts with	1
CDC7	ORC6	interacts with	1
CDC7	MCM2	interacts with	1
CDC7	MCM10	interacts with	1
CDC7	CDKN1A	interacts with	1
CDC7	MCM3	interacts with	1
CDC7	ORC5	interacts with	1
CDC7	CDKN2A	interacts with	1
CDC7	MCM7	interacts with	1
CDC7	MCM4	interacts with	1
CDC7	ZBTB8B	interacts with	1
CDC7	DBF4	interacts with	1
CDC6	B3GALNT1	interacts with	1
CDC6	CDT1	interacts with	1
CDC6	ORC3	interacts with	1
CDC6	ORC2	interacts with	1
CDC6	CDKN2A	interacts with	1
CDC6	ORC5	interacts with	1
CDC6	MCM3	interacts with	1
CDC6	MCM7	interacts with	1
CDC6	CDKN1A	interacts with	1
CDC6	ORC1	interacts with	1
CDC6	ORC6	interacts with	1
CDC6	MCM2	interacts with	1
CDC6	MCM6	interacts with	1
CDC6	MCM10	interacts with	1
DEAF1	CDKN2A	interacts with	1
DEAF1	RIDA	interacts with	1
DEAF1	CDKN1A	interacts with	1
CDC45	MCM3	interacts with	1
CDC45	MCM10	interacts with	1
CDC45	MCM7	interacts with	1
CDC45	ORC6	interacts with	1
CDC45	ORC1	interacts with	1
CDC45	ORC2	interacts with	1
CDC45	MCM2	interacts with	1
CDC45	MCM6	interacts with	1
CDC45	ORC3	interacts with	1
CDC45	CDKN1A	interacts with	1
CDC45	ORC5	interacts with	1
CDC45	CDKN2A	interacts with	1
MCM10	ORC3	interacts with	1
MCM10	MCM2	interacts with	1
MCM10	CDKN2A	interacts with	1
MCM10	CDKN1A	interacts with	1
MCM10	MCM7	interacts with	1
MCM10	MCM3	interacts with	1
MCM10	ORC4	interacts with	1
MCM10	ORC2	interacts with	1
MCM10	MCM6	interacts with	1
MCM10	ZBTB8B	interacts with	1
CCNA2	CCNB1	interacts with	1
CCNA2	CDK2	interacts with	1
CCNA2	CDKN1B	interacts with	1
CCNA2	CDKN1A	interacts with	1
ORC3	ORC5	interacts with	1
ORC3	CCNE2	interacts with	1
ORC3	MCM7	interacts with	1
ORC3	MCM4	interacts with	1
ORC3	MCM5	interacts with	1
ORC3	ORC1	interacts with	1
ORC3	ORC6	interacts with	1
ORC3	ORC2	interacts with	1
ORC3	ORC4	interacts with	1
MTRFR	CDK2	interacts with	1
CDT1	ORC1	interacts with	1
CDT1	GMNN	interacts with	1
CDT1	ORC2	interacts with	1
CDT1	MCM6	interacts with	1
GCK	PFKFB3	interacts with	1
GCK	PFKFB1	interacts with	1
GCK	GCKR	interacts with	1
IRF8	ZBTB17	interacts with	1
FOXO1	CCNB1	interacts with	1
FOXO1	CDKN1A	interacts with	1
CDKN3	CDK2	interacts with	1
CDKN3	CDK3	interacts with	1
CDK3	CCNE2	interacts with	1
CDK3	CDKN1A	interacts with	1
MCM3	DBF4	interacts with	1
MCM3	CDK2	interacts with	1
MCM3	ORC4	interacts with	1
MCM3	ORC5	interacts with	1
MCM3	MCM5	interacts with	1
MCM3	MCM7	interacts with	1
MCM3	MCM2	interacts with	1
MCM3	MCM6	interacts with	1
MCM6	MCM4	interacts with	1
MCM6	RPA1	interacts with	1
MCM6	MCM7	interacts with	1
MCM6	MCM2	interacts with	1
MCM6	ORC4	interacts with	1
MCM6	ORC2	interacts with	1
MCM6	ORC1	interacts with	1
MCM6	ORC6	interacts with	1
MCM6	CCNA1	interacts with	1
MCM6	GMNN	interacts with	1
MCM6	ESCO2	interacts with	1
ORC1	MCM4	interacts with	1
ORC1	MCM2	interacts with	1
ORC1	ORC4	interacts with	1
ORC1	ORC2	interacts with	1
ORC1	ORC5	interacts with	1
ORC1	MCM5	interacts with	1
ORC1	MCM7	interacts with	1
ORC1	DBF4	interacts with	1
DBF4	ORC2	interacts with	1
DBF4	MCMBP	interacts with	1
DBF4	MCM4	interacts with	1
DBF4	ORC6	interacts with	1
DBF4	ORC5	interacts with	1
DBF4	MCM7	interacts with	1
DBF4	MCM2	interacts with	1
PFKFB1	PFKFB3	interacts with	1
HPD	RIDA	interacts with	1
HPD	CDKN1A	interacts with	1
CCNB2	CDK2	interacts with	1
CCNB2	MCM2	interacts with	1
CCNB2	CDKN1A	interacts with	1
CDKN1C	CCNE2	interacts with	1
CDKN1C	MCM7	interacts with	1
CDKN2A	ZBTB17	interacts with	1
CDKN2A	MCM5	interacts with	1
CDKN2A	MCM2	interacts with	1
CDKN2A	GMNN	interacts with	1
CDKN2A	ORC4	interacts with	1
KLHDC9	CCNA1	interacts with	1
ORC2	MCM4	interacts with	1
ORC2	RPA1	interacts with	1
ORC2	MCM5	interacts with	1
ORC2	MCM7	interacts with	1
ORC2	MCM2	interacts with	1
ORC2	ORC5	interacts with	1
ORC2	ORC4	interacts with	1
ORC2	CDK2	interacts with	1
CDKN1B	CDK2	interacts with	1
CDKN1B	MCM7	interacts with	1
CDKN1B	CCNE2	interacts with	1
CDKN1B	CCNA1	interacts with	1
CDKN1B	CDKN1A	interacts with	1
PHLDA3	CDK2	interacts with	1
ESCO2	MCM4	interacts with	1
ESCO2	MCM2	interacts with	1
MCMBP	MCM7	interacts with	1
CDKN1A	CDK2	interacts with	1
CDKN1A	GCKR	interacts with	1
CDKN1A	GMNN	interacts with	1
CDKN1A	CCNA1	interacts with	1
CDKN1A	CCNB1	interacts with	1
CDKN1A	CCNE2	interacts with	1
