PathwayIDs;PathwayNames;PathwayBackgroundNames;PathwaySizes;TargetSizes;IntersectionSize;BackgroundSizes;pValue;pAdjusted;Intersection
WP5102;Familial partial lipodystrophy;WP_allPathways_request_2022_09_07.gmt;30;28;2;12399;0.0020572405288238034;0.21395301499767555;KLF9 PPARA
WP4545;Oxysterols derived from cholesterol;WP_allPathways_request_2022_09_07.gmt;46;28;2;12399;0.004786894839495498;0.2489185316537659;ESR2 NR1H2
WP4746;Thyroid hormones production and peripheral downstream signaling effects;WP_allPathways_request_2022_09_07.gmt;92;28;2;12399;0.01816267366208474;0.6296393536189375;RXRA THRB
WP2059;Alzheimer's disease and miRNA effects;WP_allPathways_request_2022_09_07.gmt;275;28;1;12399;0.4667157822732535;1.0;NRBF2
WP5101;Congenital generalized lipodystrophy;WP_allPathways_request_2022_09_07.gmt;18;28;0;12399;1.0;1.0;
WP5087;Malignant pleural mesothelioma;WP_allPathways_request_2022_09_07.gmt;436;28;0;12399;1.0;1.0;
WP5074;Kallmann syndrome;WP_allPathways_request_2022_09_07.gmt;24;28;0;12399;1.0;1.0;
WP5053;Development of ureteric collection system;WP_allPathways_request_2022_09_07.gmt;60;28;1;12399;0.12713306700276525;1.0;RARG
WP5052;Nephrogenesis;WP_allPathways_request_2022_09_07.gmt;18;28;0;12399;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;WP_allPathways_request_2022_09_07.gmt;14;28;0;12399;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;WP_allPathways_request_2022_09_07.gmt;9;28;0;12399;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;WP_allPathways_request_2022_09_07.gmt;3;28;0;12399;1.0;1.0;
WP4971;Phosphoinositides metabolism;WP_allPathways_request_2022_09_07.gmt;49;28;0;12399;1.0;1.0;
WP4950;16p11.2 distal deletion syndrome;WP_allPathways_request_2022_09_07.gmt;33;28;0;12399;1.0;1.0;
WP4949;16p11.2 proximal deletion syndrome;WP_allPathways_request_2022_09_07.gmt;81;28;0;12399;1.0;1.0;
WP4947;Nitric oxide metabolism in cystic fibrosis;WP_allPathways_request_2022_09_07.gmt;13;28;0;12399;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;WP_allPathways_request_2022_09_07.gmt;32;28;1;12399;0.06987501145129914;1.0;KAT2B
WP4940;15q11.2 copy number variation syndrome;WP_allPathways_request_2022_09_07.gmt;10;28;0;12399;1.0;1.0;
WP4932;7q11.23 copy number variation syndrome;WP_allPathways_request_2022_09_07.gmt;113;28;0;12399;1.0;1.0;
WP4906;3q29 copy number variation syndrome;WP_allPathways_request_2022_09_07.gmt;75;28;0;12399;1.0;1.0;
WP4905;1q21.1 copy number variation syndrome;WP_allPathways_request_2022_09_07.gmt;36;28;0;12399;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;WP_allPathways_request_2022_09_07.gmt;57;28;1;12399;0.12116476666871674;1.0;KAT2B
WP4871;Kisspeptin/kisspeptin receptor system in the ovary;WP_allPathways_request_2022_09_07.gmt;39;28;0;12399;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;WP_allPathways_request_2022_09_07.gmt;22;28;0;12399;1.0;1.0;
WP5104;Acquired partial lipodystrophy / Barraquer-Simons syndrome;WP_allPathways_request_2022_09_07.gmt;10;28;0;12399;1.0;1.0;
WP5108;Familial  hyperlipidemia type 1;WP_allPathways_request_2022_09_07.gmt;18;28;0;12399;1.0;1.0;
WP5109;Familial hyperlipidemia type 2;WP_allPathways_request_2022_09_07.gmt;16;28;0;12399;1.0;1.0;
WP5224;2q37 copy number variation syndrome;WP_allPathways_request_2022_09_07.gmt;168;28;1;12399;0.31777686660785287;1.0;MAP4
WP5223;2q21.1 copy number variation syndrome;WP_allPathways_request_2022_09_07.gmt;42;28;0;12399;1.0;1.0;
WP5222;2q13 copy number variation syndrome;WP_allPathways_request_2022_09_07.gmt;68;28;0;12399;1.0;1.0;
WP5221;2q11.2 copy number variation syndrome;WP_allPathways_request_2022_09_07.gmt;65;28;0;12399;1.0;1.0;
WP5202;Alstrom syndrome;WP_allPathways_request_2022_09_07.gmt;33;28;0;12399;1.0;1.0;
WP5200;Dravet syndrome;WP_allPathways_request_2022_09_07.gmt;24;28;0;12399;1.0;1.0;
WP5195;Disorders in ketolysis;WP_allPathways_request_2022_09_07.gmt;5;28;0;12399;1.0;1.0;
WP5193;Cholesterol synthesis disorders;WP_allPathways_request_2022_09_07.gmt;18;28;0;12399;1.0;1.0;
WP5190;Creatine pathway;WP_allPathways_request_2022_09_07.gmt;5;28;0;12399;1.0;1.0;
WP5189;Copper metabolism;WP_allPathways_request_2022_09_07.gmt;4;28;0;12399;1.0;1.0;
WP5178;Disorders of fructose metabolism;WP_allPathways_request_2022_09_07.gmt;14;28;0;12399;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;WP_allPathways_request_2022_09_07.gmt;20;28;0;12399;1.0;1.0;
WP5175;Disorders in ketone body synthesis;WP_allPathways_request_2022_09_07.gmt;5;28;0;12399;1.0;1.0;
WP5173;Disorders of galactose metabolism ;WP_allPathways_request_2022_09_07.gmt;13;28;0;12399;1.0;1.0;
WP5171;Leukotriene metabolic pathway;WP_allPathways_request_2022_09_07.gmt;13;28;0;12399;1.0;1.0;
WP5169;Hemesynthesis defects and porphyrias;WP_allPathways_request_2022_09_07.gmt;9;28;0;12399;1.0;1.0;
WP5166;Glyoxylate metabolism;WP_allPathways_request_2022_09_07.gmt;11;28;0;12399;1.0;1.0;
WP5124;Alzheimer's disease;WP_allPathways_request_2022_09_07.gmt;262;28;1;12399;0.4504526283071377;1.0;NRBF2
WP5120;Inclusion body myositis;WP_allPathways_request_2022_09_07.gmt;11;28;0;12399;1.0;1.0;
WP5114;Nucleotide excision repair in xeroderma pigmentosum ;WP_allPathways_request_2022_09_07.gmt;74;28;0;12399;1.0;1.0;
WP5112;Familial hyperlipidemia type 5;WP_allPathways_request_2022_09_07.gmt;15;28;0;12399;1.0;1.0;
WP5111;Familial hyperlipidemia type 4;WP_allPathways_request_2022_09_07.gmt;22;28;0;12399;1.0;1.0;
WP5110;Familial hyperlipidemia type 3;WP_allPathways_request_2022_09_07.gmt;13;28;0;12399;1.0;1.0;
WP4844;Influence of laminopathies on Wnt signaling;WP_allPathways_request_2022_09_07.gmt;37;28;0;12399;1.0;1.0;
WP4842;Mammalian disorder of sexual development;WP_allPathways_request_2022_09_07.gmt;25;28;0;12399;1.0;1.0;
WP4823;Genes controlling nephrogenesis;WP_allPathways_request_2022_09_07.gmt;44;28;0;12399;1.0;1.0;
WP5234;Bardet-Biedl syndrome;WP_allPathways_request_2022_09_07.gmt;88;28;0;12399;1.0;1.0;
WP4299;Lamin A-processing pathway;WP_allPathways_request_2022_09_07.gmt;3;28;0;12399;1.0;1.0;
WP4298;Acute viral myocarditis;WP_allPathways_request_2022_09_07.gmt;85;28;0;12399;1.0;1.0;
WP4297;Thiamine metabolic pathways;WP_allPathways_request_2022_09_07.gmt;9;28;0;12399;1.0;1.0;
WP4292;Methionine metabolism leading to sulfur amino acids and related disorders;WP_allPathways_request_2022_09_07.gmt;11;28;0;12399;1.0;1.0;
WP4288;MTHFR deficiency;WP_allPathways_request_2022_09_07.gmt;24;28;0;12399;1.0;1.0;
WP4271;Vitamin B12 disorders;WP_allPathways_request_2022_09_07.gmt;13;28;0;12399;1.0;1.0;
WP4259;Disorders of folate metabolism and transport;WP_allPathways_request_2022_09_07.gmt;13;28;0;12399;1.0;1.0;
WP4236;Krebs cycle disorders;WP_allPathways_request_2022_09_07.gmt;7;28;0;12399;1.0;1.0;
WP4228;Vitamin B6-dependent and responsive disorders;WP_allPathways_request_2022_09_07.gmt;4;28;0;12399;1.0;1.0;
WP4225;Pyrimidine metabolism and related diseases;WP_allPathways_request_2022_09_07.gmt;17;28;0;12399;1.0;1.0;
WP4312;Rett syndrome causing genes;WP_allPathways_request_2022_09_07.gmt;48;28;1;12399;0.10302281531134673;1.0;NCOR2
WP4224;Purine metabolism and related disorders;WP_allPathways_request_2022_09_07.gmt;22;28;0;12399;1.0;1.0;
WP4157;GABA metabolism (aka GHB);WP_allPathways_request_2022_09_07.gmt;6;28;0;12399;1.0;1.0;
WP4156;Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine;WP_allPathways_request_2022_09_07.gmt;10;28;0;12399;1.0;1.0;
WP4153;Degradation pathway of sphingolipids, including diseases;WP_allPathways_request_2022_09_07.gmt;15;28;0;12399;1.0;1.0;
WP3998;Prader-Willi and Angelman syndrome;WP_allPathways_request_2022_09_07.gmt;68;28;0;12399;1.0;1.0;
WP3995;Prion disease pathway;WP_allPathways_request_2022_09_07.gmt;33;28;1;12399;0.07198089805947651;1.0;RXRA
WP3853;ERK pathway in Huntington's disease;WP_allPathways_request_2022_09_07.gmt;15;28;0;12399;1.0;1.0;
WP3584;MECP2 and associated Rett syndrome;WP_allPathways_request_2022_09_07.gmt;73;28;0;12399;1.0;1.0;
WP3569;Fanconi Anemia Pathway;WP_allPathways_request_2022_09_07.gmt;39;28;0;12399;1.0;1.0;
WP2447;Amyotrophic lateral sclerosis (ALS);WP_allPathways_request_2022_09_07.gmt;38;28;0;12399;1.0;1.0;
WP2371;Parkinson's disease pathway;WP_allPathways_request_2022_09_07.gmt;47;28;0;12399;1.0;1.0;
WP4220;Neurotransmitter disorders;WP_allPathways_request_2022_09_07.gmt;4;28;0;12399;1.0;1.0;
WP4830;GDNF/RET signaling axis;WP_allPathways_request_2022_09_07.gmt;23;28;0;12399;1.0;1.0;
WP4320;Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome;WP_allPathways_request_2022_09_07.gmt;37;28;0;12399;1.0;1.0;
WP4506;Tyrosine metabolism and related disorders;WP_allPathways_request_2022_09_07.gmt;5;28;0;12399;1.0;1.0;
WP4814;Somatic sex determination;WP_allPathways_request_2022_09_07.gmt;14;28;0;12399;1.0;1.0;
WP4804;Cholesterol biosynthesis with skeletal dysplasias;WP_allPathways_request_2022_09_07.gmt;7;28;0;12399;1.0;1.0;
WP4803;Ciliopathies;WP_allPathways_request_2022_09_07.gmt;184;28;0;12399;1.0;1.0;
WP4792;Purine metabolism;WP_allPathways_request_2022_09_07.gmt;13;28;0;12399;1.0;1.0;
WP4688;Serine metabolism;WP_allPathways_request_2022_09_07.gmt;8;28;0;12399;1.0;1.0;
WP4686;Leucine, isoleucine and valine metabolism;WP_allPathways_request_2022_09_07.gmt;24;28;0;12399;1.0;1.0;
WP4673;Male infertility;WP_allPathways_request_2022_09_07.gmt;145;28;1;12399;0.28088698879477153;1.0;ESR2
WP4657;22q11.2 copy number variation syndrome;WP_allPathways_request_2022_09_07.gmt;149;28;2;12399;0.044223538501835136;1.0;SRF TXNRD2
WP4656;Joubert syndrome;WP_allPathways_request_2022_09_07.gmt;76;28;0;12399;1.0;1.0;
WP4595;Urea cycle and associated pathways;WP_allPathways_request_2022_09_07.gmt;24;28;0;12399;1.0;1.0;
WP4504;Cysteine and methionine catabolism;WP_allPathways_request_2022_09_07.gmt;15;28;0;12399;1.0;1.0;
WP4577;Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway;WP_allPathways_request_2022_09_07.gmt;44;28;0;12399;1.0;1.0;
WP4541;Hippo-Merlin signaling dysregulation;WP_allPathways_request_2022_09_07.gmt;120;28;0;12399;1.0;1.0;
WP4540;Hippo signaling regulation pathways;WP_allPathways_request_2022_09_07.gmt;98;28;0;12399;1.0;1.0;
WP4535;Envelope proteins and their potential roles in EDMD physiopathology;WP_allPathways_request_2022_09_07.gmt;46;28;1;12399;0.09894250520119673;1.0;SRF
WP4524;Alternative pathway of fetal androgen synthesis;WP_allPathways_request_2022_09_07.gmt;11;28;0;12399;1.0;1.0;
WP4523;Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism;WP_allPathways_request_2022_09_07.gmt;16;28;0;12399;1.0;1.0;
WP4522;Metabolic pathway of LDL, HDL and TG, including diseases;WP_allPathways_request_2022_09_07.gmt;17;28;0;12399;1.0;1.0;
WP4521;Glycosylation and related congenital defects;WP_allPathways_request_2022_09_07.gmt;25;28;0;12399;1.0;1.0;
WP4519;Cerebral organic acidurias, including diseases;WP_allPathways_request_2022_09_07.gmt;8;28;0;12399;1.0;1.0;
WP4518;Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases;WP_allPathways_request_2022_09_07.gmt;6;28;0;12399;1.0;1.0;
WP4507;Molybdenum cofactor (Moco) biosynthesis;WP_allPathways_request_2022_09_07.gmt;7;28;0;12399;1.0;1.0;
WP4549;Fragile X syndrome;WP_allPathways_request_2022_09_07.gmt;112;28;0;12399;1.0;1.0;
WP5269;Genetic causes of PSVD/INCPH;WP_allPathways_request_2022_09_07.gmt;37;28;0;12399;1.0;1.0;
