multiplex	node	score
2	WP5087	0.002847885875091138
2	WP4673	0.0009022865859048021
2	WP5124	0.0007759015708361374
2	WP2059	0.0007759015708361374
2	WP4298	0.0007690455140750497
2	WP3584	0.00060276110406314
2	WP4746	0.0005831506739667438
2	WP4549	0.0005765162518086616
2	WP5224	0.0005658803647181131
2	WP4657	0.0005618085768764785
2	WP4541	0.0005245035868264237
2	WP4932	0.0004995596335800067
2	WP5053	0.0004812461504446104
2	WP4949	0.0004386528821742623
2	WP5114	0.00043300673897103946
2	WP4312	0.0004048698648151112
2	WP2447	0.000383027014873373
2	WP4879	0.0003281184393591576
2	WP4906	0.00031511816837117375
2	WP4540	0.0003074828935659176
2	WP5222	0.0003051380649718123
2	WP3995	0.00029026090350955496
2	WP3998	0.00024616439885245535
2	WP4803	0.0002425914800283393
2	WP2371	0.00023765333318612243
2	WP4320	0.0002217751860601675
2	WP4823	0.00022077628918651295
2	WP5269	0.00021220407805350131
2	WP4288	0.00020065878993702805
2	WP5102	0.0001917712457453608
2	WP4545	0.00018382587288174178
2	WP4224	0.0001715827434114203
2	WP4577	0.0001696823807873418
2	WP4656	0.0001499342391542205
2	WP4830	0.00014474649353963
2	WP4871	0.0001420217533809468
2	WP5074	0.00014060377457207455
2	WP4971	0.00013798320726945545
2	WP4844	0.00012882396943171556
2	WP5202	0.00012804117365764132
2	WP4535	0.00012742712413021237
2	WP5052	0.00012111717884564394
2	WP4950	0.00011829563208073615
2	WP5171	0.00011784339119478371
2	WP5178	0.00011753683152627688
2	WP4905	0.00010497177216584943
2	WP5221	0.00010257324208878413
2	WP5103	9.566293117373853e-05
2	WP4947	8.970918965749547e-05
2	WP4942	8.534437525530262e-05
2	WP4522	8.334541133928934e-05
2	WP4842	8.329120446086717e-05
2	WP4595	8.299300720616436e-05
2	WP5193	8.234902444509248e-05
2	WP4686	7.926826997589166e-05
2	WP4225	7.87885679341548e-05
2	WP5234	7.828484927064545e-05
2	WP3853	7.383380564284232e-05
2	WP5110	6.935969657049937e-05
2	WP5101	6.573138150959495e-05
2	WP4156	6.50881890857269e-05
2	WP4792	6.478893096330629e-05
2	WP3569	6.306319697262353e-05
2	WP5195	6.26042652767207e-05
2	WP5190	6.110321558885862e-05
2	WP5200	5.942316381533569e-05
2	WP4814	5.885343786486064e-05
2	WP5173	5.296859869105402e-05
2	WP5120	5.138639653558588e-05
2	WP5108	4.8045224700286384e-05
2	WP4153	4.280339527212235e-05
2	WP4297	3.8003519794804884e-05
2	WP5169	3.743137878860572e-05
2	WP4259	3.725713106129289e-05
2	WP5176	3.592593740176263e-05
2	WP5166	3.15174882537594e-05
2	WP4220	3.1464967693990534e-05
2	WP5189	3.056936038223684e-05
2	WP4504	2.8768338230487932e-05
2	WP4688	2.8681421862930516e-05
2	WP4524	2.6248583396864092e-05
2	WP5111	2.6028098502725256e-05
2	WP4523	2.589824495142804e-05
2	WP4292	2.0520100633172893e-05
2	WP5109	1.896564856934495e-05
2	WP5112	1.8013791772772934e-05
2	WP4157	1.7360999607150387e-05
2	WP4518	1.7084582280172807e-05
2	WP5175	1.6869797145743393e-05
2	WP5104	1.6618168681757824e-05
2	WP5223	1.5411567608066213e-05
2	WP4507	1.1342585772424389e-05
2	WP5030	1.0576982957976199e-05
2	WP4521	9.392143744174798e-06
2	WP4236	8.291112612644232e-06
2	WP5037	7.436256253573235e-06
2	WP4940	3.660709096475456e-06
2	WP4299	2.7043507905462553e-06
2	WP4271	2.4432553394165935e-06
2	WP4519	2.3596958071346657e-06
2	WP4506	2.2126944691605235e-06
2	WP4804	1.660896597847116e-06
2	WP5031	6.811150628706483e-07
2	WP4228	3.483932522339787e-07
