node	score
OMIM:601626	0.00016788150860047493
OMIM:114500	0.0001607184373692433
OMIM:125853	0.00015964522728003616
OMIM:114480	0.00011973825465759454
OMIM:211980	0.00011595357763236413
OMIM:600807	0.00010162274104903603
OMIM:114550	6.571415729306754e-05
OMIM:215600	6.51874421152803e-05
OMIM:613659	6.505589110757826e-05
OMIM:601665	6.501939509059057e-05
OMIM:180300	6.270429407029986e-05
OMIM:604571	6.149184806537187e-05
OMIM:104300	5.9380357604273156e-05
OMIM:615919	5.620465192660174e-05
OMIM:607785	5.027302596064775e-05
OMIM:206900	4.867722465145948e-05
OMIM:601859	4.764671932239271e-05
OMIM:602089	4.707576330351479e-05
OMIM:181500	4.615400072091696e-05
OMIM:164400	4.533347019829509e-05
