multiplex	node	score
2	OMIM:601626	0.00016788150860047485
2	OMIM:114500	0.00016071843736924343
2	OMIM:125853	0.00015964522728003608
2	OMIM:114480	0.00011973825465759456
2	OMIM:211980	0.00011595357763236419
2	OMIM:600807	0.00010162274104903607
2	OMIM:114550	6.571415729306753e-05
2	OMIM:215600	6.518744211528028e-05
2	OMIM:613659	6.50558911075783e-05
2	OMIM:601665	6.501939509059062e-05
2	OMIM:180300	6.270429407029989e-05
2	OMIM:604571	6.14918480653719e-05
2	OMIM:104300	5.938035760427318e-05
2	OMIM:615919	5.620465192660174e-05
2	OMIM:607785	5.027302596064778e-05
2	OMIM:206900	4.867722465145948e-05
2	OMIM:601859	4.7646719322392704e-05
2	OMIM:602089	4.707576330351482e-05
2	OMIM:181500	4.615400072091696e-05
2	OMIM:164400	4.533347019829507e-05
2	OMIM:613795	4.4953751190171435e-05
2	OMIM:157300	4.3920572055570794e-05
2	OMIM:137800	4.342250544536532e-05
2	OMIM:619087	4.2295942213492544e-05
2	OMIM:609048	3.984019773645102e-05
2	OMIM:613705	3.973683138610585e-05
2	OMIM:168600	3.914062039043577e-05
2	OMIM:613065	3.851265942327197e-05
2	OMIM:601367	3.834424469930263e-05
2	OMIM:268220	3.819642518248567e-05
2	OMIM:105400	3.816605390553733e-05
2	OMIM:612376	3.814186387519324e-05
2	OMIM:116300	3.673471638259534e-05
2	OMIM:618793	3.656064849612474e-05
2	OMIM:616737	3.647411373851121e-05
2	OMIM:606438	3.611409986756909e-05
2	OMIM:601536	3.599637981110147e-05
2	OMIM:222100	3.558370162832461e-05
2	OMIM:616728	3.52839918642008e-05
2	OMIM:300257	3.4898624658894255e-05
2	OMIM:615537	3.48321016109695e-05
2	OMIM:614266	3.480906299382342e-05
2	OMIM:617744	3.4805614487798654e-05
2	OMIM:618999	3.477489783277842e-05
2	OMIM:615342	3.467579795699183e-05
2	OMIM:116920	3.4673189381210046e-05
2	OMIM:619381	3.458218155302452e-05
2	OMIM:229700	3.444345941836421e-05
2	OMIM:615515	3.443432031820312e-05
2	OMIM:180700	3.439754716372418e-05
2	OMIM:615962	3.4308991430797815e-05
2	OMIM:105120	3.430053612680141e-05
2	OMIM:613406	3.4270856033866577e-05
2	OMIM:608747	3.4259233782274e-05
2	OMIM:167000	3.4201003155607286e-05
2	OMIM:614974	3.4151274945548796e-05
2	OMIM:619652	3.4104382465683755e-05
2	OMIM:233700	3.404887108041949e-05
2	OMIM:174000	3.4031974456766065e-05
2	OMIM:612244	3.3969374780661135e-05
2	OMIM:182940	3.394612887370076e-05
2	OMIM:113970	3.39102391779793e-05
2	OMIM:203450	3.3787471791967907e-05
2	OMIM:610755	3.374534991950783e-05
2	OMIM:259600	3.372099698151702e-05
2	OMIM:122700	3.371044450844588e-05
2	OMIM:617591	3.3686551999921415e-05
2	OMIM:617105	3.3544419988518914e-05
2	OMIM:268000	3.340842068992371e-05
2	OMIM:233710	3.337406233810381e-05
2	OMIM:114290	3.336390225618504e-05
2	OMIM:614424	3.3349609572465396e-05
2	OMIM:602782	3.328644164904371e-05
2	OMIM:618287	3.3220122855707036e-05
2	OMIM:610251	3.320734916357002e-05
2	OMIM:223100	3.3198585250696385e-05
2	OMIM:616812	3.317554424671204e-05
2	OMIM:613148	3.3163937624387854e-05
2	OMIM:619690	3.316270947350271e-05
2	OMIM:612237	3.3161791585335586e-05
2	OMIM:609813	3.312745026174547e-05
2	OMIM:137580	3.312732326824593e-05
2	OMIM:609311	3.311549540626987e-05
2	OMIM:274400	3.3081991169196845e-05
2	OMIM:301025	3.303684026432985e-05
2	OMIM:616415	3.299861295405761e-05
2	OMIM:611819	3.297174896276609e-05
2	OMIM:618612	3.294356629841861e-05
2	OMIM:617252	3.293251677220272e-05
2	OMIM:233690	3.293039810459955e-05
2	OMIM:615028	3.2929112332942904e-05
2	OMIM:271980	3.2923611251818146e-05
2	OMIM:607936	3.2910897262863735e-05
2	OMIM:616720	3.290384282843726e-05
2	OMIM:614833	3.290338631929484e-05
2	OMIM:145350	3.289719111133527e-05
2	OMIM:618167	3.289396925070269e-05
2	OMIM:231095	3.287486122606814e-05
2	OMIM:604117	3.285328340876331e-05
2	OMIM:619173	3.283186010818226e-05
2	OMIM:617384	3.283147261026127e-05
2	OMIM:619122	3.2822044090907146e-05
2	OMIM:616576	3.2813070069466463e-05
2	OMIM:616721	3.279964607798855e-05
2	OMIM:300908	3.27922158392437e-05
2	OMIM:617641	3.2791809009709266e-05
2	OMIM:600512	3.276371123634988e-05
2	OMIM:612160	3.274406229696287e-05
2	OMIM:219000	3.2739670646371695e-05
2	OMIM:613172	3.2732431577786466e-05
2	OMIM:614416	3.2728883819918695e-05
2	OMIM:614437	3.271114266117688e-05
2	OMIM:612229	3.269006793735468e-05
2	OMIM:615413	3.268724730047273e-05
2	OMIM:615816	3.26057324537008e-05
2	OMIM:615198	3.259091633997716e-05
2	OMIM:601775	3.25892521940145e-05
2	OMIM:615085	3.2588680741664326e-05
2	OMIM:181450	3.25849927569898e-05
2	OMIM:275355	3.25844338586329e-05
2	OMIM:154500	3.2565349646868734e-05
2	OMIM:218700	3.2563072608672906e-05
2	OMIM:615938	3.252766569728519e-05
2	OMIM:148500	3.2521597958213274e-05
2	OMIM:617721	3.252151403226582e-05
2	OMIM:302800	3.251928312133423e-05
2	OMIM:618233	3.246030950435475e-05
2	OMIM:617964	3.2458696737558916e-05
2	OMIM:176450	3.243583484786784e-05
2	OMIM:206920	3.2435096722790005e-05
2	OMIM:617622	3.240149199030669e-05
2	OMIM:617718	3.238388192801399e-05
2	OMIM:256040	3.2366326832357505e-05
2	OMIM:613073	3.235623783153869e-05
2	OMIM:245480	3.235316371448315e-05
2	OMIM:618665	3.232771983835862e-05
2	OMIM:619361	3.2325631866630084e-05
2	OMIM:618005	3.23209029532348e-05
2	OMIM:617952	3.231848092420863e-05
2	OMIM:614224	3.230791698548454e-05
2	OMIM:612702	3.2305553908461304e-05
2	OMIM:618718	3.23050842195139e-05
2	OMIM:221200	3.229297211583655e-05
2	OMIM:613735	3.2287909309509435e-05
2	OMIM:165720	3.228729447514654e-05
2	OMIM:605407	3.227489786314848e-05
2	OMIM:615969	3.2269382355906945e-05
2	OMIM:619073	3.226744808958787e-05
2	OMIM:126600	3.2259087807030456e-05
2	OMIM:301028	3.225268889010426e-05
2	OMIM:616126	3.2247285076801065e-05
2	OMIM:601186	3.221260571716399e-05
2	OMIM:143890	3.2204644974673975e-05
2	OMIM:608907	3.220398850166863e-05
2	OMIM:613075	3.220006953480693e-05
2	OMIM:619086	3.218779092215651e-05
2	OMIM:617827	3.218516187547492e-05
2	OMIM:601455	3.2184808300262405e-05
2	OMIM:226300	3.217890214870598e-05
2	OMIM:618013	3.217735803171681e-05
2	OMIM:300523	3.216345770967452e-05
2	OMIM:611881	3.21567133179127e-05
2	OMIM:164280	3.21543598201701e-05
2	OMIM:230000	3.2120682516696654e-05
2	OMIM:617770	3.212041634506973e-05
2	OMIM:252940	3.211933559413309e-05
2	OMIM:265400	3.211785091307056e-05
2	OMIM:612240	3.210707067503986e-05
2	OMIM:615897	3.210234199760953e-05
2	OMIM:153400	3.207713956386366e-05
