Representing term id	Representing term name	Representing term size	Representing term rank	Represented term number	Overlap term rank	AMI term rank	RWR term rank
WP5087	Malignant pleural mesothelioma	436	1	1	1	1	1
WP4298	Acute viral myocarditis	85	2	1	2	9	5
WP4541	Hippo-Merlin signaling dysregulation	120	2	1	13	2	11
WP4673	Male infertility	145	2	1	16	None	2
WP2447	Amyotrophic lateral sclerosis (ALS)	38	3	1	3	8	17
WP4577	Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway	44	3	1	None	3	None
WP2059	Alzheimer's disease and miRNA effects	275	3	1	8	11	3
WP5053	Development of ureteric collection system	60	4	1	4	4	13
WP5124	Alzheimer's disease	262	4	1	6	10	4
WP4879	Overlap between signal transduction pathways contributing to LMNA laminopathies	57	5	1	5	12	18
WP4540	Hippo signaling regulation pathways	98	5	1	24	5	20
WP3998	Prader-Willi and Angelman syndrome	68	6	1	None	6	None
WP3584	MECP2 and associated Rett syndrome	73	6	1	7	19	6
WP4549	Fragile X syndrome	112	7	1	14	7	8
WP4746	Thyroid hormones production and peripheral downstream signaling effects	92	7	1	10	None	7
WP3995	Prion disease pathway	33	9	1	9	None	None
WP5224	2q37 copy number variation syndrome	168	9	1	None	None	9
WP4657	22q11.2 copy number variation syndrome	149	10	1	None	None	10
WP4830	GDNF/RET signaling axis	23	11	1	11	None	None
WP4823	Genes controlling nephrogenesis	44	12	1	12	None	None
WP4932	7q11.23 copy number variation syndrome	113	12	1	None	None	12
WP4844	Influence of laminopathies on Wnt signaling	37	13	1	23	13	None
WP4906	3q29 copy number variation syndrome	75	14	1	None	14	19
WP4949	16p11.2 proximal deletion syndrome	81	14	1	None	15	14
WP4871	Kisspeptin/kisspeptin receptor system in the ovary	39	15	1	15	None	None
WP5114	Nucleotide excision repair in xeroderma pigmentosum 	74	15	1	None	None	15
WP5120	Inclusion body myositis	11	16	1	28	16	None
WP4312	Rett syndrome causing genes	48	16	1	None	None	16
WP3853	ERK pathway in Huntington's disease	15	17	1	17	18	None
WP4971	Phosphoinositides metabolism	49	17	1	None	17	None
WP5102	Familial partial lipodystrophy	30	18	1	18	None	None
WP4288	MTHFR deficiency	24	19	1	19	None	None
WP5103	Progeria-associated lipodystrophy	22	20	1	20	None	None
WP5269	Genetic causes of PSVD/INCPH	37	21	1	21	None	None
WP5074	Kallmann syndrome	24	22	1	22	None	None
WP5110	Familial hyperlipidemia type 3	13	25	1	25	None	None
WP4224	Purine metabolism and related disorders	22	26	1	26	None	None
WP2371	Parkinson's disease pathway	47	27	1	27	None	None
