GeneSymbol	ActiveModule	ActiveGene	overlapSignificant
EIF1AY	1	False	True
HNF4A	1	True	True
HDAC3	1	False	True
NR2C1	1	True	True
RXRG	1	True	True
NR1H4	1	False	True
VDR	1	True	True
PSMC5	1	False	True
TAF11	1	False	True
TNP1	1	False	True
PPARA	1	True	True
DTD1	1	False	True
NR3C1	1	True	True
MED25	1	False	True
RARA	1	True	True
NCOA2	1	False	True
PPARG	1	True	True
NR3C2	1	False	True
ZNHIT3	1	False	True
SRF	1	False	True
TMPRSS3	1	False	True
RXRA	1	True	True
ADCY4	1	False	True
BRD8	1	False	True
ALOX15B	1	False	True
RARB	1	True	True
FABP1	1	False	True
ZBTB3	1	False	True
ZBTB20	1	False	True
NCOA4	1	False	True
EIF5B	1	False	True
RFPL2	1	False	True
CNOT1	1	False	True
THRB	1	False	True
ACSL1	1	True	True
MAP6	1	False	True
RARG	1	True	True
NR2C2	1	True	True
JAZF1	1	False	True
AHR	1	True	True
NCOA1	1	False	True
NR2F1	1	True	True
NPPA	1	True	True
NR2F6	1	False	True
NR2F2	1	True	True
TRIP4	1	False	True
PRCP	1	False	True
MECR	1	False	True
NRBF2	1	False	True
ATP6V1C1	1	False	True
JMJD1C	1	False	True
NRIP1	1	True	True
NR1H3	1	False	True
SPIN2A	1	False	True
NFKBIB	1	False	True
RANBP9	1	False	True
CALB1	1	True	True
ASXL1	1	False	True
NCOR2	1	False	True
NR1H2	1	False	True
FGFR4	2	True	True
MYC	2	True	True
PPM1L	2	False	True
PDGFRB	2	True	True
HGF	2	True	True
EPHA2	2	False	True
GMNC	2	False	True
CCNE1	2	True	True
TRIM6	2	False	True
CD44	2	True	True
CDK4	2	False	True
PDGFA	2	True	True
HIF3A	2	False	True
ARNT	2	True	True
TERT	2	True	True
CDKN2B	2	True	True
AHRR	2	False	True
PTEN	2	True	True
STK11	2	False	True
DDX51	2	False	True
PDGFC	2	False	True
PDGFRA	2	True	True
CDK6	2	False	True
LRBA	3	False	True
ABL1	3	True	True
POLD1	3	False	True
FYN	3	True	True
DDX41	3	False	True
MIA	3	True	True
FASLG	3	True	True
FOXF2	3	False	True
MED14	3	False	True
MMP7	3	False	True
SCARF2	3	False	True
HEXA	3	False	True
NPVF	3	False	True
CSF1R	3	True	True
GRAP2	3	False	True
BMP8B	3	False	True
TJP3	3	False	True
C6	3	False	True
GFRA1	3	True	True
RET	3	True	True
PCDHA7	3	False	True
MAP4K5	3	False	True
MACC1	3	False	True
TMEM74B	3	False	True
SLA	3	True	True
GAB1	3	False	True
CDKL5	3	False	True
LPL	3	True	True
TGOLN2	3	False	True
PIK3CG	3	True	True
OSBPL5	3	False	True
CCKBR	3	False	True
GSTZ1	3	False	True
SAMSN1	3	False	True
AR	3	True	True
SH2D2A	3	False	True
TSKS	3	False	True
PAG1	3	False	True
KIFC2	3	False	True
DKKL1	3	False	True
PTK2	3	True	True
GSX2	3	False	True
NBEA	3	False	True
NCKIPSD	3	False	True
GAD1	3	False	True
GPR45	3	False	True
PRX	3	False	True
DNASE1L2	3	False	True
NCF1	3	True	True
ABI1	3	False	True
GTF3A	3	False	True
HCN4	3	False	True
DAG1	3	True	True
NFS1	3	False	True
LYN	3	True	True
RIMS1	3	False	True
SLC22A3	3	False	True
GPIHBP1	3	False	True
GP6	3	False	True
BTK	3	True	True
EPS8L3	3	False	True
AHSG	3	False	True
VPREB1	3	False	True
TULP4	3	False	True
BAZ2A	3	False	True
GUCY2D	3	False	True
FGR	3	True	True
GPR63	3	False	True
LTBP2	3	False	True
NCKAP5	3	False	True
NEK8	3	False	True
DAB2	3	True	True
CRK	3	False	True
HCK	3	True	True
MAP4K1	3	False	True
PTK6	3	False	True
KRT5	4	True	False
KIFC3	4	False	False
GNG10	4	False	False
KRT16	4	True	False
KRT3	4	True	False
HGS	4	False	False
KRT6A	4	True	False
KRT2	4	True	False
KRT15	4	False	False
KRT4	4	True	False
CEP57	4	False	False
KRT13	4	True	False
KRT79	4	False	False
ALOX12	4	False	False
KRT19	4	True	False
KRT1	4	True	False
KRT14	4	True	False
KRT81	4	False	False
ANOS1	5	False	True
FGF2	5	True	True
FGF5	5	True	True
FGFR2	5	True	True
CEND1	5	False	True
ERBB2	5	True	True
NTRK2	5	True	True
EGFR	5	True	True
DCN	5	False	True
DUSP10	5	False	True
IGF1R	5	True	True
SH2B2	5	False	True
TMEM230	5	False	True
GPM6B	5	False	True
NTRK1	5	True	True
FRS2	5	False	True
LRRC7	5	False	True
SNAP91	5	False	True
FGF1	5	True	True
FGFR1	5	False	True
IRS2	5	False	True
TLN1	5	False	True
FGF4	5	True	True
SH2B3	5	False	True
CHD5	5	False	True
SHC2	5	False	True
PTPN7	5	False	True
DOK1	5	False	True
MTMR2	5	False	True
ERBB4	5	True	True
TMA7	5	False	True
IRS1	5	False	True
SMIM20	5	False	True
NUMB	5	False	True
NRG1	5	False	True
JMJD4	5	False	True
RYK	5	False	True
PPP3CA	5	True	True
ERBB3	5	True	True
DUSP19	5	False	True
ACP1	5	False	True
EYA4	5	False	True
SH2B1	5	False	True
