source	target	link	AMI_number
EIF1AY	HNF4A	interacts with	1
EIF1AY	EIF5B	interacts with	1
AHR	NCOA1	interacts with	1
ZBTB20	NR3C1	interacts with	1
ZBTB20	PPARG	interacts with	1
JMJD1C	RXRA	interacts with	1
JMJD1C	THRB	interacts with	1
JMJD1C	PPARG	interacts with	1
NR2F1	MAP6	interacts with	1
NR2F1	NCOA2	interacts with	1
PSMC5	NR3C2	interacts with	1
PSMC5	RXRA	interacts with	1
PSMC5	RARG	interacts with	1
PSMC5	RARB	interacts with	1
PSMC5	NR1H3	interacts with	1
PSMC5	RARA	interacts with	1
PSMC5	THRB	interacts with	1
PSMC5	VDR	interacts with	1
PPARG	ATP6V1C1	interacts with	1
PPARG	CNOT1	interacts with	1
PPARG	JAZF1	interacts with	1
PPARG	RARA	interacts with	1
PPARG	TNP1	interacts with	1
PPARG	BRD8	interacts with	1
PPARG	ADCY4	interacts with	1
PPARG	NCOA1	interacts with	1
PPARG	RANBP9	interacts with	1
PPARG	ALOX15B	interacts with	1
PPARG	NFKBIB	interacts with	1
PPARG	TRIP4	interacts with	1
PPARG	ZBTB3	interacts with	1
PPARG	FABP1	interacts with	1
PPARG	NCOA4	interacts with	1
PPARG	NR1H2	interacts with	1
PPARG	NR1H3	interacts with	1
PPARG	ZNHIT3	interacts with	1
PPARG	NRIP1	interacts with	1
PPARG	NCOA2	interacts with	1
PPARG	RXRA	interacts with	1
PPARG	NCOR2	interacts with	1
ZNHIT3	THRB	interacts with	1
ZNHIT3	RXRA	interacts with	1
ZNHIT3	HNF4A	interacts with	1
TRIP4	NR2F2	interacts with	1
TRIP4	RXRA	interacts with	1
TRIP4	SRF	interacts with	1
TRIP4	THRB	interacts with	1
TRIP4	NCOA1	interacts with	1
NCOR2	RXRG	interacts with	1
NCOR2	RANBP9	interacts with	1
NCOR2	RARG	interacts with	1
NCOR2	RARB	interacts with	1
NCOR2	NR1H3	interacts with	1
NCOR2	HDAC3	interacts with	1
NCOR2	THRB	interacts with	1
NCOR2	NR3C1	interacts with	1
NCOR2	RXRA	interacts with	1
NCOR2	SRF	interacts with	1
NCOR2	RARA	interacts with	1
NCOR2	NR1H2	interacts with	1
NCOR2	VDR	interacts with	1
NCOR2	PPARA	interacts with	1
NR1H2	NCOA2	interacts with	1
NR1H2	RARA	interacts with	1
NR1H2	NCOA1	interacts with	1
NR1H2	RXRA	interacts with	1
NR1H2	RXRG	interacts with	1
NR1H2	VDR	interacts with	1
NR1H2	NRIP1	interacts with	1
NR1H2	PPARA	interacts with	1
NCOA2	PPARA	interacts with	1
NCOA2	RXRA	interacts with	1
NCOA2	THRB	interacts with	1
NCOA2	HNF4A	interacts with	1
NCOA2	NR3C1	interacts with	1
NCOA2	RARA	interacts with	1
NCOA2	VDR	interacts with	1
BRD8	THRB	interacts with	1
BRD8	RXRA	interacts with	1
MAP6	RARG	interacts with	1
MAP6	RARB	interacts with	1
NCOA1	HNF4A	interacts with	1
NCOA1	RARG	interacts with	1
NCOA1	NR3C2	interacts with	1
NCOA1	NR3C1	interacts with	1
NCOA1	RARA	interacts with	1
NCOA1	RXRA	interacts with	1
NCOA1	SRF	interacts with	1
NCOA1	VDR	interacts with	1
NCOA1	THRB	interacts with	1
NCOA1	PPARA	interacts with	1
NCOA1	RARB	interacts with	1
NCOA1	NR1H3	interacts with	1
NCOA1	NR1H4	interacts with	1
NR3C2	ACSL1	interacts with	1
NR3C2	RXRA	interacts with	1
NR3C2	NR3C1	interacts with	1
NCOA4	RXRA	interacts with	1
NCOA4	VDR	interacts with	1
NCOA4	NR3C1	interacts with	1
RXRG	THRB	interacts with	1
RXRG	SRF	interacts with	1
RXRG	RARA	interacts with	1
RXRG	VDR	interacts with	1
RXRG	RARB	interacts with	1
RXRG	NR1H3	interacts with	1
RXRG	PPARA	interacts with	1
RXRG	RARG	interacts with	1
RXRG	NR1H4	interacts with	1
NFKBIB	RXRA	interacts with	1
NR1H4	RXRA	interacts with	1
SPIN2A	NR3C1	interacts with	1
RANBP9	NR3C1	interacts with	1
RANBP9	THRB	interacts with	1
RANBP9	CALB1	interacts with	1
EIF5B	NR3C1	interacts with	1
EIF5B	ZBTB3	interacts with	1
EIF5B	THRB	interacts with	1
NR1H3	PPARA	interacts with	1
NR1H3	NR3C1	interacts with	1
NR1H3	NRIP1	interacts with	1
NR1H3	RXRA	interacts with	1
CNOT1	RARA	interacts with	1
CNOT1	THRB	interacts with	1
CNOT1	RXRA	interacts with	1
SRF	RXRA	interacts with	1
SRF	RARA	interacts with	1
ALOX15B	RXRA	interacts with	1
ALOX15B	RARA	interacts with	1
HDAC3	NRIP1	interacts with	1
HDAC3	NR2C1	interacts with	1
NRIP1	HNF4A	interacts with	1
NRIP1	THRB	interacts with	1
NRIP1	NR3C1	interacts with	1
NRIP1	RARA	interacts with	1
NRIP1	VDR	interacts with	1
HNF4A	MECR	interacts with	1
HNF4A	NPPA	interacts with	1
HNF4A	NR2C2	interacts with	1
HNF4A	NRBF2	interacts with	1
RARA	MECR	interacts with	1
RARA	ASXL1	interacts with	1
RARA	NR3C1	interacts with	1
RARA	THRB	interacts with	1
RARA	NRBF2	interacts with	1
RARA	RXRA	interacts with	1
RARA	NR2C1	interacts with	1
RARA	MED25	interacts with	1
PPARA	TNP1	interacts with	1
PPARA	FABP1	interacts with	1
PPARA	NRBF2	interacts with	1
JAZF1	RXRA	interacts with	1
JAZF1	NR2C2	interacts with	1
NR2F6	NR2F2	interacts with	1
NR2F6	THRB	interacts with	1
NR2F6	RXRA	interacts with	1
NR2F6	RARG	interacts with	1
THRB	MECR	interacts with	1
THRB	MED25	interacts with	1
THRB	RXRA	interacts with	1
THRB	NRBF2	interacts with	1
TMPRSS3	RXRA	interacts with	1
ZBTB3	NR3C1	interacts with	1
RARG	RXRA	interacts with	1
TAF11	VDR	interacts with	1
PRCP	VDR	interacts with	1
NRBF2	RXRA	interacts with	1
RXRA	MECR	interacts with	1
RXRA	VDR	interacts with	1
RXRA	RARB	interacts with	1
RXRA	MED25	interacts with	1
DTD1	NR3C1	interacts with	1
NR3C1	RFPL2	interacts with	1
NR3C1	MED25	interacts with	1
NR3C1	ASXL1	interacts with	1
NR3C1	NR2F2	interacts with	1
TRIM6	MYC	interacts with	2
CD44	STK11	interacts with	2
CD44	EPHA2	interacts with	2
CD44	FGFR4	interacts with	2
CD44	HGF	interacts with	2
CD44	ARNT	interacts with	2
CD44	PDGFRA	interacts with	2
CD44	CDK6	interacts with	2
CD44	CDKN2B	interacts with	2
CD44	CDK4	interacts with	2
PDGFRB	PPM1L	interacts with	2
PDGFRB	PDGFC	interacts with	2
PDGFRB	PTEN	interacts with	2
PDGFRB	PDGFA	interacts with	2
PDGFRB	PDGFRA	interacts with	2
PDGFC	PDGFRA	interacts with	2
CDK4	ARNT	interacts with	2
CDK4	PDGFRA	interacts with	2
CDK4	CCNE1	interacts with	2
CDK4	HGF	interacts with	2
CDK4	TERT	interacts with	2
CDK4	STK11	interacts with	2
CDK4	FGFR4	interacts with	2
CDK4	EPHA2	interacts with	2
CDK4	CDK6	interacts with	2
CDK4	MYC	interacts with	2
CDK4	CDKN2B	interacts with	2
CDK6	ARNT	interacts with	2
CDK6	PDGFRA	interacts with	2
CDK6	TERT	interacts with	2
CDK6	STK11	interacts with	2
CDK6	FGFR4	interacts with	2
CDK6	EPHA2	interacts with	2
CDK6	CDKN2B	interacts with	2
CDK6	CCNE1	interacts with	2
CDK6	HGF	interacts with	2
CDK6	MYC	interacts with	2
MYC	PTEN	interacts with	2
MYC	PDGFRA	interacts with	2
MYC	HGF	interacts with	2
MYC	EPHA2	interacts with	2
MYC	TERT	interacts with	2
MYC	STK11	interacts with	2
MYC	FGFR4	interacts with	2
MYC	CDKN2B	interacts with	2
MYC	CCNE1	interacts with	2
MYC	ARNT	interacts with	2
TERT	STK11	interacts with	2
TERT	FGFR4	interacts with	2
TERT	CDKN2B	interacts with	2
TERT	CCNE1	interacts with	2
TERT	DDX51	interacts with	2
TERT	PDGFRA	interacts with	2
HIF3A	ARNT	interacts with	2
AHRR	ARNT	interacts with	2
HGF	PDGFRA	interacts with	2
HGF	FGFR4	interacts with	2
HGF	CDKN2B	interacts with	2
HGF	ARNT	interacts with	2
HGF	STK11	interacts with	2
HGF	EPHA2	interacts with	2
CDKN2B	FGFR4	interacts with	2
CDKN2B	EPHA2	interacts with	2
CDKN2B	ARNT	interacts with	2
CDKN2B	PDGFRA	interacts with	2
CDKN2B	CCNE1	interacts with	2
CDKN2B	STK11	interacts with	2
CCNE1	FGFR4	interacts with	2
CCNE1	ARNT	interacts with	2
CCNE1	GMNC	interacts with	2
CCNE1	STK11	interacts with	2
STK11	ARNT	interacts with	2
STK11	PDGFRA	interacts with	2
STK11	EPHA2	interacts with	2
STK11	FGFR4	interacts with	2
STK11	PTEN	interacts with	2
PDGFRA	ARNT	interacts with	2
PDGFRA	FGFR4	interacts with	2
PDGFRA	EPHA2	interacts with	2
PDGFRA	PDGFA	interacts with	2
ARNT	FGFR4	interacts with	2
ARNT	EPHA2	interacts with	2
FGFR4	EPHA2	interacts with	2
PPM1L	EPHA2	interacts with	2
EPHA2	PTEN	interacts with	2
FOXF2	ABL1	interacts with	3
FOXF2	FYN	interacts with	3
NEK8	FYN	interacts with	3
NEK8	ABL1	interacts with	3
CCKBR	FYN	interacts with	3
CCKBR	ABL1	interacts with	3
FYN	GPR63	interacts with	3
FYN	HCN4	interacts with	3
FYN	DKKL1	interacts with	3
FYN	DNASE1L2	interacts with	3
FYN	NBEA	interacts with	3
FYN	LRBA	interacts with	3
FYN	BAZ2A	interacts with	3
FYN	TSKS	interacts with	3
FYN	DDX41	interacts with	3
FYN	ABL1	interacts with	3
FYN	ABI1	interacts with	3
FYN	NCKAP5	interacts with	3
FYN	TULP4	interacts with	3
FYN	HEXA	interacts with	3
FYN	LTBP2	interacts with	3
FYN	MAP4K5	interacts with	3
FYN	DAB2	interacts with	3
FYN	NCKIPSD	interacts with	3
FYN	CDKL5	interacts with	3
