multiplex	node	score
1	ADAMTS5	0.0006598648550559247
1	HOXB4	0.0006506525711416414
1	ACAN	0.0006493681133290677
1	PCK1	0.0006488868217911603
1	RBP2	0.0006484231398496547
1	MIA	0.0006470176435640497
1	MC1R	0.0006469046610233374
1	DBX2	0.0006468657198346058
1	DCT	0.0006468593789410625
1	ACSL1	0.0006467107647492128
1	BST1	0.0006466744431616347
1	SLC2A2	0.0006466469869201239
1	PCDH11X	0.000646441814802873
1	DBX1	0.0006462743720411923
1	OLR1	0.0006462299199087601
1	LORICRIN	0.0006461958517280047
1	GPRC5A	0.000646056309692083
1	SLC9A2	0.0006460553856453929
1	DEFA1	0.0006460184958312652
1	NKX3-2	0.0006460106796826831
1	MUC2	0.0006459674137709294
1	SFTPB	0.0006459178514452557
1	IGF2	0.0006446845841393097
1	MUC5B	0.0006437884893742456
1	MUC5AC	0.0006437884893742456
1	GNRH1	0.0006351756546583772
1	APP	0.0006336466177003584
1	PLP1	0.0006326913940675282
1	DSC3	0.0006323816478680292
1	DSC2	0.000632132618321995
1	CALCA	0.000632075130982668
1	FGF4	0.0006320110790090081
1	CD38	0.0006314115826173126
1	TRH	0.0006310873980700563
1	B3GNT5	0.0006310668683893761
1	HSD17B1	0.0006310266076722338
1	LPA	0.0006307087606206446
1	MMP13	0.0006305840598243455
1	ALPL	0.0006303445892126281
1	MT3	0.0006303442677615157
1	HOXD13	0.0006303181778417923
1	IGF1	0.000629631614750629
1	KRT8	0.0006280155708102454
1	FGF3	0.000624671344140215
1	CDX1	0.0006238563612976145
1	GPX2	0.0006230700750249686
1	NR6A1	0.000622955112870576
1	PLAAT4	0.0006229535450811189
1	TAT	0.000622861824295047
1	CHGA	0.0006227010785385657
1	KRT1	0.0006225790382371883
1	SMYD5	0.0006225561162160397
1	SLC5A5	0.0006224596076744106
1	FXYD3	0.0006222476973571268
1	FGF5	0.0006211689932993953
1	VIPR1	0.0006203677178103251
1	CYP3A4	0.0006199391498519169
1	PTGS2	0.000619901227532033
1	VIP	0.0006195564555121053
1	MUC4	0.0006192962403916355
1	PCP2	0.0006191099328008562
1	CETP	0.0006188363511288905
1	ITGAV	0.0006187763149087658
1	OPRK1	0.0006183530482987931
1	TH	0.0006183117689246554
1	UCP3	0.000618114047641836
1	KRT19	0.0006179375849182558
1	KRT6A	0.0006175000911374759
1	PTGS1	0.0006174027437182313
1	TYR	0.0006169478427928539
1	MSX2	0.0006165004910173384
1	KRT16	0.0006164086095069325
