PathwayIDs;PathwayNames;PathwayBackgroundNames;PathwaySizes;TargetSizes;IntersectionSize;BackgroundSizes;pValue;pAdjusted;Intersection
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;508;43;18089;6.6466522974450516e-18;8.640647986678566e-17;ACTA2 AGTR1 BCL2 BMP2 BMP4 BMP7 CA2 CALB1 COL4A1 CTNNB1 EGR1 FGF1 FGF2 FGFR2 HNF1B HOXD11 IL6R ITGA8 LHX1 MME MMP9 MYC NOTCH1 ODC1 PDGFA PDGFRA PDGFRB PECAM1 RARA RARB RBP4 RET SHH SOX9 STAT1 STRA6 TFAP2A TGFB1 TGFB2 TGFBR1 VEGFA WNT1 WT1
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;508;41;18089;7.902033474844939e-17;5.13632175864921e-16;ACTA2 AGTR1 BCL2 BMP2 BMP4 BMP7 CA2 CALB1 CTNNB1 EGR1 FGF1 FGF2 FGFR2 HNF1B HOXD11 IL6R ITGA8 LHX1 MME MMP9 MYC NOTCH1 ODC1 PDGFA PDGFRA PDGFRB PECAM1 RARA RARB RET SHH SOX9 STAT1 STRA6 TFAP2A TGFB1 TGFB2 TGFBR1 VEGFA WNT1 WT1
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;508;20;18089;1.9234961594388366e-12;8.335150024234958e-12;BCL2 BMP2 BMP4 BMP7 CALB1 CTNNB1 FGF1 FGF2 HNF1B HOXD11 LHX1 MYC PDGFRB SHH SOX9 STAT1 TGFB1 VEGFA WNT1 WT1
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;421;15;7411;2.267498907330273e-08;7.369371448823387e-08;BMP4 CTNNB1 FGFR2 GFRA1 HOXD11 ITGA8 LHX1 MYCN RARA RARB RARG RET SHH TGFB2 WT1
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;421;10;7411;0.00011080436286595514;0.0002880913434514834;CTNNB1 FGFR2 HOXD11 ITGA8 LHX1 PDGFRB RET SHH VEGFA WT1
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;508;6;18089;0.0010585845310838835;0.002293599817348414;AGTR1 BMP4 HNF1B ITGA8 NRIP1 RET
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;421;5;7411;0.008297232288599148;0.01540914567882699;BMP4 CTNNB1 GFRA1 LHX1 RET
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;442;3;10531;0.03748808186788081;0.06091813303530631;CTSD CTSG MME
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;442;3;10531;0.21280013810603504;0.30737797726427285;GFRA1 PRKCA RET
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;421;2;7411;0.25111286642988745;0.3264467263588537;BMP7 MEIS1
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;442;14;10531;0.5136538582917298;0.5605021072329366;CAMK2A CLTA CTNNB1 LEF1 MYC PPP3CA PPP3CB PRKCA RUNX3 SOX9 TERT WNT1 WNT3A WNT8A
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;442;10;10531;0.5173865605227107;0.5605021072329366;ACTA2 CNTN1 EGFR FCER2 JUN MDK MYC NOTCH1 STAT1 TP53
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;442;2;10531;0.9877674496055509;0.9877674496055509;IHH SHH
